idx,true,text,length,bow,llm_only,singh,webrag
10,Fraud,"Agent: Hello? Caller: Good morning. This is [NAME] with [ORG] Caller: calling on a recorded line. Am I speaking with [NAME]? Agent: Oh, [curious] good morning now. [curious] [NAME], yeah, that's me. What can I do for ya, [NAME]? [ORG], you say? Caller: Yes. It looks like somebody looks like you did you start, uh, to inquire about information with regards to debt relief options? Agent: [confused] O",Fraud,Fraud,Fraud,Fraud,Fraud
11,Normal,"Agent: Hello? Caller: Hello. Hi. May I speak with [NAME]? Agent: [calm] Yes, this is [NAME]. [curious] Who's calling, dear? Caller: Yes. This is [NAME]. I'm calling from [ORG]. Regarding your online application. Agent: [curious] My online application? [confused] Oh, goodness, I don't remember filling out any application like that. [long pause] What kind of application was it? Caller: Um, so it loo",Fraud,Fraud,Fraud,Normal,Fraud
12,Fraud,"Agent: Hello? Caller: Hello. May I speak with [NAME], please? Agent: Yes, [calm] this is [NAME]. [curious] Who's calling, please? Caller: My name is [NAME]. I'm with [ORG]. I had received or we multiple requests from our website to give you a call. Agent: Oh, [confused] [ORG], you say? [curious] And what exactly was the request about? I get so many calls these days, you know. Caller: Yes, ma'am. A",Fraud,Fraud,Fraud,Fraud,Fraud
13,Normal,"Agent: Hello? Caller: Hi. May I speak to [NAME]? Agent: This is she. [calm] Who's calling, please? Caller: Hello? Hey, [NAME]. [NAME], this is [NAME] with [ORG], and I was calling about the auto insurance quote you requested on our website. Did you ever get that quote for automobile insurance? Agent: Oh, [confused] the auto insurance quote? Hmm. [long pause] Yes, I think I did... did fill somethin",Fraud,Normal,Fraud,Fraud,Fraud
14,Normal,"Agent: Hello? Caller: Hi, [NAME]. This is [NAME]. I'm calling from [ORG]. How are you? Agent: Oh, hello, [NAME]. [calm] I'm doing just fine, dear. [curious] And what was this about [ORG]? Caller: Uh, you had inquired about uh, Independent Living Community? Caller: We're here in Sarasota, Florida. I think you were working with [ORG], and you were looking for an independent, uh, living community. Di",Fraud,Normal,Normal,Normal,Normal
15,Normal,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yeah, this is [NAME]. [curious] Who's this? Caller: Hi, [NAME]. This is [NAME] with [ORG]. You had submitted a request Caller: online for pet insurance? Caller: To [ORG]. Agent: Oh, hey [NAME]. [confused] [ORG], huh? Oh, [confused] for real? Pet insurance... yeah, I think I did, um, the other day. [curious] What's up with that? Oh, [confused] the pe",Fraud,Fraud,Fraud,Normal,Fraud
16,Normal,"Agent: Hello? Caller: Hello. This is [NAME]. Agent: Yeah, this is [NAME]. [curious] Who's this? Caller: Hello? Hello, mister [NAME]. My name is [NAME]. I'm a licensed insurance agent with [ORG] on a recorded and monitored line. Caller: How are you today? Agent: Okay, [NAME]. [confused] What's this about? I'm doing good, [NAME]. [confused] What's this regarding? Caller: That's good to hear. I'm fol",Fraud,Fraud,Fraud,Fraud,Fraud
17,Fraud,"Agent: Hello? Caller: Hi, is this [NAME]? Agent: Yeah, [curious] it is. What's up? Caller: Good morning. Is this [NAME]? Yeah. Hi, [NAME]. Yeah. This is [NAME] at [ORG]. I was just uh, responding back to an inquiry you placed on our website here. Agent: Okay, [confused] an inquiry? Yeah, I mean, I... I go to a lot of sites, so... Which one was this again? Caller: Were you trying to get some help w",Fraud,Fraud,Fraud,Fraud,Fraud
18,Normal,"Agent: Hello? Caller: Is this [NAME]? Agent: Oh, [surprised] yes, this is [NAME]. [curious] Who's calling, dear? Caller: Hello? Agent: Oh, [confused] hello? I just said this is [NAME]. [curious] Who are you? I can barely hear you, dear. Caller: Hi. This is [NAME] with [ORG] and Dun hi. Can you hear me? Can you hear me? Hello? Are you there? Agent: Oh, [confused] yes, yes, I can hear you. [calm] Yo",Fraud,Normal,Fraud,Fraud,Fraud
19,Fraud,"Agent: Hello? Caller: Hi. Can I speak to [NAME]? Agent: Oh, [curious] it's [NAME], yes. That's me. Caller: Hi, [NAME]. This is [NAME] with [ORG] on a recorded line. How are you? Agent: Oh, hi [NAME]. [calm] I'm good, thank you. How are you doing? Caller: Good. I was I'm well. Thank you for asking. I was reached reaching out. You put some information on our web form for financial assistance. Agent:",Fraud,Fraud,Fraud,Fraud,Fraud
20,Fraud,"Agent: Hello? Caller: Hello there. Is this [NAME]? Agent: Yes, [curious] this is [NAME]. Caller: Hello there. My name is [NAME]. I'm a licensed insurance agent with [ORG]. Caller: On a recorded and monitored line. How are you doing today? Agent: Okay, hello. [calm] What can I help you with? I'm good, thank you. [curious] How can I help you? Caller: Good. Caller: Yes, ma'am. So I'm just following u",Fraud,Fraud,Fraud,Fraud,Fraud
21,Normal,"Agent: Hello? Caller: Hello. Is this [NAME]? Agent: Yes, [calm] this is [NAME]. [curious] Who's calling, please? Caller: Uh, my name is [NAME]. I'm with the [ORG]. Uh, you booked a meeting with me to go over your [ORG] coverage. Agent: Oh, [calm] [ORG], right. [confused] I don't quite recall booking a meeting, dear. [NAME] used to handle all that. [curious] What was it about [ORG] again? Caller: U",Fraud,Normal,Fraud,Fraud,Fraud
22,Fraud,"Agent: Hello? Caller: Hello? Hi, [NAME]? Agent: Uh, yeah, [curious] that's me. Caller: Hi. Yes. This is [NAME] calling from the [ORG]. I'm returning a request for contact that you made on our website regarding a tax resolution matter for the with the [ORG] [ORG]. Agent: Oh, [confused] right, yeah. The — the tax thing. What's up with that? Caller: Yes. You reached out to my firm looking to I guess,",Fraud,Fraud,Fraud,Fraud,Fraud
23,Fraud,"Agent: Hello? Caller: Hi. Can you hear me? Agent: Yes, I can hear you. [curious] Who is this, please? Caller: I was calling for miss [NAME]. This is [NAME] from [ORG]. Agent: Oh, [calm] [ORG]. Yes. [confused] What was this about again, dear? Caller: I'm coming there for a stairlift. I'm about five minutes out. Agent: Oh, [surprised] a stairlift! Yes, of course. [confused] I forgot you were coming ",Fraud,Fraud,Fraud,Fraud,Normal
24,Normal,"Agent: Hello? Caller: Hi. Is this looking to speak with [NAME]? Agent: Yes, [calm] this is [NAME]. Caller: Hi. How are you today? Agent: Oh, I'm doing just fine, [calm] thank you. And you are? Caller: Beautiful. Well, yes, I'm [NAME] and calling from [ORG]. It looks like you submitted a a request for a quote online, and we are just reaching out because we are running our extended Memorial Day prom",Fraud,Normal,Normal,Normal,Normal
25,Fraud,"Agent: Hello? Caller: Hello. Hello, [NAME]? Agent: [confused] [NAME]? Oh, no, this is [NAME]. [NAME]. Who's calling, please? Caller: This is [NAME] with [ORG] on a recorded line. Caller: How are you doing today? Agent: [calm] Oh, okay. [curious] And what can I help you with, [NAME]? Oh, [calm] I'm doing just fine, dear. Just fine. [ORG], you say? [curious] And what can I do for you today, [NAME]? ",Fraud,Fraud,Fraud,Fraud,Fraud
26,Normal,"Agent: Hello? Caller: Hi. Good morning. This is [NAME], and I'm following up on your on behalf of [ORG] on a recorded line. We received a request for a business insurance quote. Did you submit this request? Agent: Oh, um, [confused] a business insurance quote? I... I don't recall that, dear. [curious] What kind of business are we talking about? Caller: Correct. Caller: Yes. So we have here from [O",Fraud,Normal,Normal,Normal,Fraud
27,Normal,"Agent: Hello? Caller: Hi. Good morning. It's [NAME] from [ORG] I'm calling about your recent request for a licensed health insurance Caller: agent to contact you. Will this be an individual or family plan? Agent: Oh [curious] okay yeah I um I think I remember doing that a while ago Oh, [confused] um, a health insurance agent? Caller: Again, uh, my name is [NAME] from [ORG], and I'm calling about y",Fraud,Normal,Fraud,Fraud,Fraud
28,Fraud,"Agent: Hello? Caller: Hello? Hi. Agent: [calm] Hello? Caller: Hello? Can you hear me? Agent: [calm] Yes, I can hear you, dear. Who is this? Caller: Hello? Caller: Hello? Uh, [NAME], this is [NAME], um, calling you from [ORG] regarding your case with, uh, the crypto that you had lost Agent: [calm] Yes, I'm here. Can you hear me now? [confused] Oh, the crypto? Right. [curious] What about it? I thoug",Fraud,Normal,Fraud,Fraud,Fraud
29,Normal,"Agent: Hello? Caller: Hi. This is [NAME] from [ORG]. We have we have on a recorded line. Am I speaking with [NAME]? Agent: Oh, [calm] yes, this is [NAME]. [curious] And what can I do for you, dear? Caller: Hello? Agent: Yes, [calm] I'm here. [confused] Can you hear me, [NAME]? I just asked what I can do for you. Caller: Good afternoon, [NAME]. So mhmm. Caller: Mhmm. Caller: Yes. I can hear you. So",Fraud,Normal,Fraud,Normal,Fraud
30,Normal,"Agent: Hello? Caller: Good afternoon. Uh, this is [NAME] calling from [ORG]. Do I have the pleasure of speaking with miss [NAME]? Agent: [calm] Oh, yes, this is [NAME]. [curious] What can I do for you, [NAME]? Caller: Uh, the reasoning for my call is because I understand that you are looking to get a quote for your RV. Is that correct? Agent: [surprised] My RV? Oh, um, yes, I suppose. [confused] [",Fraud,Normal,Fraud,Normal,Fraud
31,Normal,"Agent: Hello? Caller: Hi. I'm looking for [NAME]. Agent: This is [NAME]. [curious] Who's this? Caller: Hi. This is [NAME]. I'm calling you from [ORG], and I see here you're looking for a warranty plan. Caller: Is that correct? Agent: Oh, um, a warranty plan? [confused] Yeah, I think so. Oh, um, [uncertain] a warranty plan? Yeah, I think so? What kind of warranty is it? Caller: Yeah. It's it's like",Fraud,Fraud,Fraud,Fraud,Fraud
32,Normal,"Agent: Hello? Caller: Hi, [NAME]. Caller: This is [NAME] from [ORG] on a recorded line. Agent: Yeah, [curious] who's this? Okay, [NAME]. [curious] What's up? Caller: I'm reaching out about the Toyota Camry. I just have a couple of details to verify with you real quick. Caller: Is your ZIP code [ZIP]? Agent: Oh right, [curious] the Camry — yeah. What's up with that? Yeah, [nervous] that's right, [Z",Fraud,Normal,Fraud,Fraud,Fraud
33,Fraud,"Agent: Hello? Caller: Hello? Can you hear me? Agent: Um, hello? [uncertain] Yeah, I can hear you. Caller: Sorry. Caller: Can I help you, um, [NAME]? Agent: Oh, [nervous] okay. Um, who is this? [confused] [NAME]? Yeah, that's me. Um, who is this? Caller: Um, calling from [ORG]. We literally got um, we got an email from you about your loss, money from twenty twenty three. Agent: [surprised] Oh, um, ",Fraud,Fraud,Fraud,Fraud,Fraud
34,Normal,"Agent: Hello? Caller: Hello? Agent: [confused] Hello? Who is this, dear? I don't recognize this number. Caller: I'm [NAME] calling you from [ORG]. Agent: [ORG]? [confused] Oh, well, I don't think I've ever used your services before. What can I do for you, [NAME]? Caller: Uh, we had a, uh, request here. Are you looking for a windshield replacement? Agent: Oh, a windshield replacement? [curious] Yes",Fraud,Normal,Fraud,Fraud,Normal
35,Fraud,"Agent: Hello? Caller: Hello? Hi, [NAME]. This is [NAME]. Caller: Calling from [ORG] on a recorded line. How are you doing? Agent: [NAME]? [curious] Hey, who is this? Oh, hi [NAME]. [uncertain] Um, I'm doing okay. What's up? Caller: Oh, that's good to hear. By the way, [NAME], I'm just only reaching out because, uh, you filled out a one form looking for financial assistance. It should only take a f",Fraud,Fraud,Fraud,Fraud,Fraud
36,Normal,"Agent: Hello? Caller: Good morning. May I speak with [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: [NAME] with [ORG]. Agent: [ORG]... [confused] Oh, is this about the car warranty thing? I think I got something in the mail about that. Caller: Get coverage Caller: on your Alfa Romero. Is that correct? Agent: My Alfa Romeo? [confused] Oh, um, I think [NAME] had one of ",Fraud,Normal,Fraud,Fraud,Fraud
37,Normal,"Agent: Hello? Caller: Hi, [NAME]. Agent: Yeah, [curious] who's this? Caller: I'm on my name is [NAME]. I'm calling from [ORG] on behalf of [ORG]. Caller: I'm responding to the life insurance request you submitted. I'm just verifying some basic information with you so we can get you on line with the licensed agent in your state today. Caller: I have your date of birth as [DOB]. Agent: Okay. [confus",Fraud,Fraud,Fraud,Normal,Normal
38,Fraud,"Agent: Hello? Caller: Hey, [NAME]. This is [NAME] with [ORG] on a recorded line. Are you doing today? Agent: Oh, [calm] [NAME]. Yes. I'm doing just fine, dear. And you? Caller: I'm doing good. Thanks for asking. [NAME], how can I help you? Agent: Well, [confused] I'm not sure, dear. You called me. [curious] What was this about, [ORG]? I don't recall... Caller: Looks like, uh, you were interested i",Fraud,Normal,Fraud,Normal,Fraud
39,Fraud,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yes, [curious] it is [NAME]. Who is this, please? Caller: Hi, [NAME]. This is [NAME]. Caller: Bath. This is [NAME] with [ORG]. Your call up to see if you're interested in getting a payday loan still. Agent: [NAME]? [confused] Okay, and how can I help you, [NAME]? Oh, [nervous] yes, the loan. I... I did call about this. What is it, please? Caller: I'",Fraud,Fraud,Fraud,Fraud,Fraud
40,Fraud,"Agent: Hello? Caller: Hello? Caller: Is this [NAME]? Caller: Hello? Agent: Oh, hello. [curious] Who's this calling? Yes, [calm] this is [NAME]. [curious] Who's calling, please? [confused] Yes, this is [NAME]. Who's calling, please? Caller: Uh, this is [NAME]. I'm calling on behalf of [ORG] for your interest in final expense. Agent: Oh, [curious] final expense, you say? I think I did fill out somet",Fraud,Normal,Fraud,Fraud,Fraud
41,Fraud,"Agent: Hello? Caller: Good morning, [NAME]. Agent: Oh, [curious] good morning! Who's this? Caller: This is [NAME] on a recorded line. Caller: Uh, it was it's looking like you were looking into some consolidation Caller: or getting a personal loan, uh, for your credit. Caller: Is that correct? Agent: Okay, [NAME]. [confused] Um, what can I do for you? Oh, right, [uncertain] yeah. I was, um, looking",Fraud,Fraud,Fraud,Normal,Fraud
42,Normal,"Agent: Hello? Caller: Hi. May I speak to [NAME]? Please? Agent: [confused] [NAME]? No, dear, there's no [NAME] here. You must have the wrong number. My name's [NAME]. Caller: No. [ORG]. [ORG]. [ORG]. [ORG]. Not [NAME]. [ORG]. Agent: Oh, [ORG]! [chuckling] Goodness, my ears aren't what they used to be, you know. [curious] What can I help you with regarding [ORG]? Caller: Okay. Caller: Hi. This is, ",Fraud,Normal,Fraud,Fraud,Fraud
43,Fraud,"Agent: Hello? Caller: Hello? Hi. This is [NAME] for [ORG]. Agent: [ORG]? [curious] And what are you calling about, dear? Caller: My name is [NAME]. I was calling you about the complaint you sent us a week ago. Agent: The complaint? [confused] Oh, um, I sent you a complaint? I don't recall... What was it about? Caller: You said that I need help recovering funds lost Caller: in a cryptocurrency scam",Fraud,Normal,Fraud,Fraud,Fraud
44,Fraud,"Agent: Hello? Caller: Hey. Good morning, miss [NAME]. Agent: [calm] Oh, good morning. [curious] Who's this? Caller: This is [NAME] with the [ORG]. Agent: [confused] The [ORG]? [curious] And what was your name again, dear? Caller: Yeah. We just Caller: we just spoke a second ago about resolving your tax debt. Agent: [confused] [NAME]... what? [confused] Oh, we did? [uncertain] I don't quite recall ",Fraud,Fraud,Fraud,Fraud,Fraud
45,Normal,"Agent: Hello? Caller: Hi, [NAME]. Caller: Good afternoon. Caller: [NAME], this is [NAME], and I'm with [ORG]. I just received your request here on our web website, and I can see that you need help with insurance benefits. Agent: [confused] [NAME]? Oh, I think you might have the wrong number, dear. [confused] [NAME]? Oh, this is [NAME]. Who is this, please? Oh, [surprised] [ORG]? Well, um, I don't ",Fraud,Normal,Fraud,Normal,Fraud
46,Fraud,"Agent: Hello? Caller: Hello? Hello. Caller: Hey, [NAME]. Caller: This is your doctor. Agent: Hello? [confused] Who is this? [confused] [NAME]? I'm sorry, dear, I think you have the wrong number. Oh, [confused] my doctor? Which one? I have a few. Caller: Oh, my Yes. Agent: few. Caller: Yes. Agent: [curious] And what's this about? Caller: We have just searched, and you have leukemia cancer. Caller: ",Fraud,Normal,Fraud,Fraud,Fraud
47,Fraud,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yes, [calm] this is [NAME]. [curious] Who's calling, please? Caller: Hi. Caller: Hi, [NAME]. My name is [NAME] with [ORG], and you had, uh, submitted an inquiry on our website about looks like maybe a reverse mortgage, and I was just giving you a call to check-in with you. Agent: [confused] Hello? I didn't quite catch that, dear. [curious] Who did y",Fraud,Normal,Fraud,Normal,Fraud
48,Normal,"Agent: Hello? Caller: Hi, [NAME]. This is [NAME] from [ORG]. Agent: Oh, [confused] [NAME]? No, this is [NAME], dear. You might have the wrong number. Caller: Yes. I mean, [ORG]. Caller: You made a call quote online again, ma'am. In our website for your Toyota Camry. Agent: Oh, [calm] [ORG]. Well, I'm [NAME]. [curious] What can I do for you? Oh, [surprised] my Camry? Goodness. I didn't think I'd fi",Fraud,Normal,Normal,Normal,Normal
49,Fraud,"Agent: Hello? Caller: Hello, [NAME]? Agent: Yes, [curious] that's me. Caller: Sorry about that. We were just it it's me again. We were disconnected. Agent: Oh, [confused] we were? I didn't even notice. What happened? Caller: Uh, I don't know. The call was disconnected, so somehow. I'm not really sure. Caller: But, nonetheless, that was the reason I'm calling you back. So going back to the health i",Fraud,Fraud,Fraud,Normal,Fraud
50,Fraud,"Agent: Hello? Caller: Yes. [NAME], please. Oh, [ORG] returning your, uh, inquiry on my email about, uh, offering compromise. Agent: Oh, [confused] my email? I don't — I don't usually get emails from, um, tax people. Is this about my, you know, my regular taxes? Caller: No. Somebody emailed me and it had your name your phone number, and it said you were interested in talking about an offer and comp",Fraud,Fraud,Fraud,Fraud,Fraud
51,Normal,"Agent: Hello? Caller: Hello. This is [NAME] calling from [ORG] regarding your [ORG] life insurance policy on a monitored and recorded line. Do you have a moment? Agent: Oh, [calm] [ORG], yes. [NAME] set that up, I think. [curious] What's this regarding, dear? Caller: Yeah. We're just calling with a quick update update to let you know, um, that your application has been submitted and is currently b",Fraud,Normal,Fraud,Fraud,Fraud
52,Fraud,"Agent: Hello? Caller: Hello? Agent: Oh, hello there. [curious] Who is this, please? Caller: Hi. Uh, this is [NAME] with [ORG]. I'm trying to reach miss [NAME]. Agent: [calm] Oh, yes, that's me. [NAME]. [curious] And what was this about, dear? [ORG], you said? Caller: Yes. Yes. You you contacted us uh, sometime ago. I think you were inquiring about final expense insurance. Agent: [confused] Final e",Fraud,Normal,Fraud,Fraud,Fraud
53,Fraud,"Agent: Hello? Caller: Hello, sir. Good day. This is [NAME], MD Pat control expert. May I speak with [NAME]? Agent: Uh, yeah, this is [NAME]. [curious] What's up, man? Caller: Yeah. [NAME], this call is in regards to your purchase today for the Weird Hero, the Weird Killer. The payment here got declined. Are you aware of this? Agent: The—the Weird Killer? [confused] Oh, right, yeah, that game. My s",Fraud,Fraud,Fraud,Normal,Fraud
54,Fraud,"Agent: Hello? Caller: Good morning. May I speak with [NAME]? Agent: Uh, [confused] it's [NAME], man. M-A-R-C-U-S. You got him. What's up? Caller: Hi. Good morning. Caller: How are you, [NAME]? Agent: I'm good, I'm good. Just, uh, tryna get this coffee down before the day really starts, you know? [chucking] What can I do for ya? Caller: I'm I was just reaching out about debt relief options. Caller:",Fraud,Fraud,Fraud,Fraud,Fraud
55,Normal,"Agent: Hello? Caller: It's quiet. It didn't even ring. Is this [NAME]? Agent: [confused] Yes, this is [NAME]. Who's calling, please? I didn't, um, catch that. Caller: Hello? This Caller: at [ORG]. I have [ORG] with Comme that I'm calling for. This is [NAME] at [ORG] about, uh, in home care. Agent: Hello? [confused] Oh, I'm sorry, dear. I didn't quite catch that. Who did you say this was? Oh, [surp",Fraud,Normal,Fraud,Fraud,Fraud
56,Normal,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yes, [calm] this is [NAME]. Who's calling, dear? Caller: [NAME]? Hi. Hi. It's [NAME] with [ORG]. Agent: Oh, [calm] hello [NAME]. What can I do for you? Caller: So, um, I apparently used spoke with my spouse the other day, who's my assistant, and, um, he told me that, I guess, your son maybe had applied on my website, uh, to say you were interested i",Fraud,Normal,Fraud,Fraud,Fraud
57,Normal,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yes, this is [NAME]. [curious] Who's calling, please? Caller: My name is [NAME]. I'm giving you a call. Um, from the, uh, flex term you were looking at an [ORG] membership, [ORG]? Agent: [confused] Flex term? Oh, goodness. [uncertain] I don't recall... an [ORG] membership. Are you sure you have the right [NAME]? Caller: Yes. Caller: It says [NAME]. ",Fraud,Normal,Fraud,Normal,Fraud
58,Fraud,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: Yes, [curious] this is [NAME]. Caller: Hey, [NAME]. This is [NAME] with [ORG] on a recorded recorded line. The notes, they say you're looking for help to pay off some debt or explore funding options. Agent: Oh, [uncertain] okay, yeah. I mean, I was looking into some things, you know, for, like, options. Caller: Okay. Um, we can help with that. So fi",Fraud,Fraud,Fraud,Fraud,Fraud
59,Normal,"Agent: Hello? Caller: Hi. This is [NAME] calling from [ORG]. Was reaching out to, uh, try and reach [NAME] to get him the information about security system. Is this [NAME]? Agent: Oh, [calm] yes, this is [NAME]. Caller: Is this a good time for you? Agent: Well, [uncertain] I suppose so. I'm just, um, doing some bills here. What's this about a security system? Caller: [ORG], were you looking for an",Fraud,Normal,Fraud,Normal,Fraud
60,Normal,"Agent: Hello? Caller: Hi. Is this [NAME]? Agent: [calm] Yes, this is [NAME]. [curious] Who's calling, please? Caller: Uh, my name Agent: [confused] [NAME]? Oh, I'm sorry, dear, I didn't quite catch that. Could you, [calm] could you say it again? Caller: My name is [NAME]. Um, I'm calling because you were looking at [ORG] in the [ORG] marketplace. Agent: [calm] Oh, the [ORG] marketplace, [surprised",Fraud,Normal,Fraud,Normal,Fraud
61,Fraud,"Agent: Hello? Caller: Hi. This is [NAME] from [ORG]. Is this, uh, miss [NAME]? Agent: Um, it's [NAME], actually. [uncertain] But yeah, that's me. Caller: This is [NAME]. Agent: Yes, that's me. [curious] What's up? Caller: Hi, ma'am. Caller: Yeah. I'm calling in regards with the loan request that you submitted using twenty twenty one [ORG] Caller: Camry. Um, we just wanted to know if you're still i",Fraud,Fraud,Fraud,Fraud,Fraud
62,Normal,"Agent: Hello? Caller: Hello? Agent: [calm] Hello? Is someone there? Caller: Hello, ma'am? Hello? Are you able to hear me? Agent: [calm] Oh, yes, dear, I can hear you. [curious] Who is this, please? Caller: Hi. My name is [NAME], and I'm calling from [ORG] on a recorded line. Am I speaking with [NAME]? Agent: [calm] It's [NAME], dear. [NAME]. [curious] What can I help you with, [NAME]? Is this abou",Fraud,Normal,Fraud,Normal,Fraud
63,Fraud,"Agent: Hello? Caller: Okay. Uh, one more thing. Because it said it could be the card number because they some [ORG] do have a three digit code. So they just prompted me to try to ask you to really turn the light on and make make sure those numbers are correct. Caller: On the the fifteen digit card number. Agent: Oh, [sighing] goodness. All right, hold on, dear. Let me, um, let me see. My eyes aren",Fraud,Fraud,Fraud,Fraud,Fraud
64,Fraud,"Agent: Hello? Caller: Hey, [NAME]. How are you doing this afternoon? Agent: I'm good, [confused] who's this? Caller: Yeah, [NAME]. This is [NAME]. I helped you with your insurance on Friday. Agent: Oh, okay, [curious] yeah, what's up? Caller: Yeah. So I was looking at the I got a email from the insurance company, and they were just having some problems verifying the banking information. Agent: The",Fraud,Fraud,Fraud,Fraud,Fraud
65,Normal,"Agent: Hello? Caller: Hello? Hello. Is this miss [NAME]? Agent: Yes, [curious] that's me. Who's calling, please? Caller: Hi. This is [NAME] from [ORG]. Caller: I called you last week, uh, about a life insurance policy that you were looking at. Caller: And you said you wanted to go over it with your son. I don't know if you remember. Agent: [ORG]? [confused] I don't think I've heard of you folks. W",Fraud,Normal,Fraud,Fraud,Fraud
66,Fraud,"Agent: Hello? Caller: Hello. This is [NAME] with [ORG]. Am I speaking with [NAME]? Agent: Yes, [calm] this is [NAME]. Caller: Hello, mister [NAME]. I'm just calling about a home warranty Caller: that you had with us, sir. Caller: May I ask what was the reason for cancellation? Agent: Oh, [curious] the home warranty, yeah. Oh, [curious] the home warranty, yeah. What about it, um... [NAME]? Oh, [con",Fraud,Fraud,Fraud,Fraud,Fraud
67,Fraud,"Agent: Hello? Caller: Hi. Hello. This is [NAME] with [ORG] on a recorded line. Is this miss [NAME]? Agent: [calm] Yes, this is [NAME]. [curious] [ORG], you say? What's this about? Caller: Yes, miss [NAME]. So we're credit saying I see you gave us a call before, maybe looked us up online. Uh, we were just reaching out because, well, we wanted to know if you had some questions or if you still had so",Fraud,Fraud,Fraud,Fraud,Fraud
