token,coefficient,pushes_toward,scam_docs,legit_docs
have to,0.5414,Fraud,20,1
been for,0.5367,Fraud,22,2
this for,0.533,Fraud,11,0
will your,0.5323,Fraud,20,1
some to,0.5298,Fraud,11,0
name name,0.5282,Fraud,15,0
and we,0.5223,Fraud,60,11
you please,0.5211,Fraud,21,4
have in,0.513,Fraud,20,2
with your,0.5113,Fraud,38,9
who,0.5086,Fraud,18,0
has been,0.5081,Fraud,30,11
not,0.5045,Fraud,55,9
of this,0.4998,Fraud,19,0
of the,0.4975,Fraud,32,8
is an,0.4889,Fraud,11,0
is in,0.4876,Fraud,18,4
an for,0.4829,Fraud,16,1
will us,0.4799,Fraud,12,0
more,0.4784,Fraud,24,15
an to,0.4766,Fraud,21,2
your will,0.4748,Fraud,34,2
first at,0.4601,Fraud,18,0
would some,0.4576,Fraud,5,0
for with,0.4498,Fraud,7,1
of please,0.4497,Fraud,5,0
due to,0.4491,Fraud,11,2
per,0.4468,Fraud,13,0
am,0.4455,Fraud,81,39
been in,0.4442,Fraud,18,1
our and,0.4419,Fraud,34,4
is this,0.4405,Fraud,11,3
to an,0.4392,Fraud,26,3
has,0.439,Fraud,49,19
in and,0.4365,Fraud,40,12
you up,0.4333,Fraud,12,1
our this,0.4323,Fraud,14,1
to of,0.4323,Fraud,13,1
this name,0.4307,Fraud,9,0
be,0.4285,Fraud,104,59
us your,0.4262,Fraud,28,5
and and,0.4252,Fraud,12,0
to is,0.4235,Fraud,10,0
have an,0.4203,Fraud,15,0
this you,0.42,Fraud,11,3
from your,0.4199,Fraud,16,10
the your,0.415,Fraud,29,3
of with,0.4116,Fraud,21,0
our we,0.4103,Fraud,27,1
on of,0.4042,Fraud,7,1
now and,0.4004,Fraud,21,0
some from,0.3985,Fraud,6,2
your by,0.3933,Fraud,20,1
are from,0.3917,Fraud,18,2
on the,0.3915,Fraud,22,5
and for,0.3895,Fraud,28,9
name this,0.3878,Fraud,5,1
we would,0.3862,Fraud,17,9
have on,0.3849,Fraud,9,1
of to,0.3845,Fraud,22,2
to more,0.3829,Fraud,11,4
in an,0.3774,Fraud,8,0
along with,0.3767,Fraud,15,0
and you,0.3762,Fraud,29,9
and as,0.3731,Fraud,9,0
for of,0.3718,Fraud,13,1
is from,0.3688,Fraud,5,0
do,0.3674,Fraud,42,16
may,0.3659,Fraud,35,8
up to,0.365,Fraud,22,2
your we,0.3625,Fraud,42,10
on your,0.3615,Fraud,34,22
her,0.3574,Fraud,3,0
you do,0.3571,Fraud,9,0
system for,0.3571,Fraud,7,0
as we,0.3568,Fraud,16,0
there we,0.3564,Fraud,5,0
and now,0.3553,Fraud,12,0
across your,0.3518,Fraud,6,0
and the,0.3506,Fraud,24,3
we an,0.3497,Fraud,8,0
by you,0.3496,Fraud,9,0
by your,0.3488,Fraud,18,0
your now,0.348,Fraud,20,1
as part,0.3443,Fraud,11,0
your has,0.3436,Fraud,12,4
amount,0.3416,Fraud,18,1
your along,0.3405,Fraud,14,0
with for,0.3361,Fraud,3,0
your is,0.3345,Fraud,41,29
within,0.3311,Fraud,17,0
these,0.3295,Fraud,7,0
for an,0.3269,Fraud,14,1
in our,0.3236,Fraud,22,4
any to,0.3211,Fraud,12,1
our for,0.3202,Fraud,26,3
is the,0.3187,Fraud,17,1
some on,0.3174,Fraud,4,1
along,0.3155,Fraud,18,3
for our,0.3131,Fraud,30,12
you more,0.3115,Fraud,4,3
this we,0.3114,Fraud,13,1
you can,0.3112,Fraud,34,11
your are,0.3093,Fraud,12,2
your the,0.3086,Fraud,14,1
that could,0.3068,Fraud,7,0
for we,0.3063,Fraud,15,3
in with,0.3037,Fraud,11,0
with to,0.303,Fraud,12,1
from on,0.3019,Fraud,6,0
am in,0.2966,Fraud,7,0
of we,0.2956,Fraud,7,0
and our,0.2956,Fraud,16,0
our in,0.2925,Fraud,7,0
here,0.2913,Fraud,24,7
by the,0.2906,Fraud,6,1
we to,0.2905,Fraud,29,6
the amount,0.2896,Fraud,14,0
our if,0.2893,Fraud,2,0
in to,0.2887,Fraud,13,3
our you,0.2843,Fraud,15,1
of your,0.2834,Fraud,55,12
we are,0.2828,Fraud,152,90
are for,0.2823,Fraud,25,16
please give,0.2822,Fraud,5,0
at in,0.2784,Fraud,11,0
for your,0.278,Fraud,40,16
for please,0.2774,Fraud,10,3
am from,0.2758,Fraud,11,0
however,0.2753,Fraud,10,0
your it,0.2747,Fraud,13,1
once we,0.2705,Fraud,10,0
four your,0.2705,Fraud,10,0
the four,0.2705,Fraud,10,0
get we,0.27,Fraud,5,0
are by,0.2696,Fraud,4,0
have made,0.2696,Fraud,6,0
you could,0.268,Fraud,12,3
your before,0.2676,Fraud,5,0
is would,0.2664,Fraud,2,2
out on,0.2664,Fraud,19,1
to per,0.2654,Fraud,8,0
where,0.2642,Fraud,26,7
our with,0.2642,Fraud,4,0
serious,0.2635,Fraud,8,0
be part,0.2631,Fraud,8,1
by with,0.2609,Fraud,5,0
and or,0.2597,Fraud,5,0
are an,0.2593,Fraud,13,1
take,0.2569,Fraud,14,3
into,0.2558,Fraud,24,6
for who,0.2554,Fraud,3,0
that can,0.255,Fraud,5,2
to to,0.2544,Fraud,26,8
as your,0.254,Fraud,5,0
you we,0.2503,Fraud,7,1
we of,0.2503,Fraud,7,0
are you,0.2494,Fraud,34,14
amount to,0.2491,Fraud,10,0
there,0.2486,Fraud,27,18
this this,0.2456,Fraud,7,0
we found,0.2453,Fraud,3,0
in the,0.2452,Fraud,43,9
is with,0.2435,Fraud,9,2
an and,0.2435,Fraud,9,1
name it,0.2433,Fraud,10,1
get you,0.2423,Fraud,6,0
as an,0.2419,Fraud,8,0
your as,0.2415,Fraud,9,0
now to,0.2411,Fraud,18,3
are and,0.2409,Fraud,12,3
by this,0.2401,Fraud,9,1
it you,0.2375,Fraud,5,2
by in,0.2374,Fraud,7,0
your first,0.2346,Fraud,5,0
can your,0.2343,Fraud,12,5
us with,0.2338,Fraud,5,1
and will,0.2323,Fraud,16,3
four,0.2319,Fraud,10,1
my,0.2318,Fraud,13,5
to be,0.2314,Fraud,19,6
one,0.2303,Fraud,15,8
are,0.2294,Fraud,196,149
where to,0.2289,Fraud,8,0
on where,0.2289,Fraud,8,0
with from,0.2287,Fraud,3,0
he,0.228,Fraud,3,0
for further,0.2269,Fraud,7,0
who will,0.2248,Fraud,5,0
name has,0.2244,Fraud,6,0
no have,0.2233,Fraud,2,0
never,0.2232,Fraud,7,0
around,0.2229,Fraud,6,1
would your,0.2228,Fraud,3,2
about to,0.2223,Fraud,6,0
yourself in,0.2221,Fraud,11,0
you an,0.222,Fraud,5,1
with the,0.222,Fraud,30,8
you on,0.2214,Fraud,14,4
out of,0.2207,Fraud,4,0
you get,0.2205,Fraud,3,0
of it,0.22,Fraud,7,1
to take,0.2198,Fraud,8,1
no,0.2197,Fraud,14,5
not out,0.2187,Fraud,16,0
this please,0.2178,Fraud,5,1
name here,0.2173,Fraud,7,0
of for,0.217,Fraud,9,1
for now,0.2169,Fraud,4,0
are system,0.2166,Fraud,4,0
to and,0.2156,Fraud,32,10
in in,0.2155,Fraud,4,0
only,0.2155,Fraud,17,2
before,0.2152,Fraud,23,12
must,0.2128,Fraud,6,0
we you,0.2092,Fraud,18,3
my name,0.2091,Fraud,4,0
have for,0.208,Fraud,10,3
will an,0.2079,Fraud,14,0
system and,0.2075,Fraud,4,0
it please,0.2068,Fraud,3,0
your with,0.2061,Fraud,29,8
to may,0.2061,Fraud,6,0
of once,0.2056,Fraud,7,0
you that,0.2049,Fraud,22,9
name is,0.2033,Fraud,9,4
its,0.203,Fraud,17,2
to any,0.2024,Fraud,6,1
been we,0.2013,Fraud,3,0
is that,0.2004,Fraud,5,2
almost,0.2002,Fraud,2,0
us you,0.1999,Fraud,5,0
the the,0.1999,Fraud,10,0
interest and,0.1982,Fraud,3,0
but we,0.1975,Fraud,4,0
our your,0.1973,Fraud,7,0
an in,0.1973,Fraud,7,0
have found,0.1973,Fraud,2,0
found with,0.1973,Fraud,2,0
or even,0.1961,Fraud,4,0
even your,0.1961,Fraud,4,0
see her,0.1956,Fraud,2,0
and these,0.195,Fraud,3,0
to its,0.1928,Fraud,9,0
our our,0.1915,Fraud,9,0
have system,0.191,Fraud,2,0
in your,0.1909,Fraud,17,9
with in,0.1906,Fraud,3,1
to who,0.1904,Fraud,4,0
for while,0.1887,Fraud,4,0
within the,0.1887,Fraud,11,0
your have,0.1886,Fraud,7,0
will some,0.1883,Fraud,4,1
the only,0.1881,Fraud,3,0
to some,0.1868,Fraud,4,0
of our,0.1867,Fraud,26,5
is by,0.1859,Fraud,8,0
can to,0.1853,Fraud,4,0
the as,0.1849,Fraud,12,0
around it,0.1839,Fraud,3,0
me am,0.1834,Fraud,4,0
now the,0.1832,Fraud,5,0
is me,0.1831,Fraud,4,0
this your,0.1829,Fraud,7,0
on this,0.1828,Fraud,16,1
of and,0.1819,Fraud,14,1
your out,0.1784,Fraud,4,0
further,0.1778,Fraud,14,6
an with,0.1771,Fraud,15,3
out we,0.177,Fraud,2,0
name with,0.1768,Fraud,5,0
but,0.1756,Fraud,18,6
your this,0.1751,Fraud,14,1
to before,0.1751,Fraud,2,0
to please,0.1742,Fraud,4,2
and am,0.1742,Fraud,24,4
the without,0.174,Fraud,2,0
your please,0.1737,Fraud,19,6
from there,0.1731,Fraud,2,0
with this,0.1727,Fraud,5,1
be in,0.1724,Fraud,12,9
could around,0.1721,Fraud,2,0
all we,0.172,Fraud,3,0
one of,0.1716,Fraud,6,1
this before,0.169,Fraud,4,0
or you,0.1688,Fraud,5,2
would not,0.1681,Fraud,8,0
your you,0.1681,Fraud,15,8
may your,0.168,Fraud,2,0
your of,0.1677,Fraud,11,2
you must,0.1669,Fraud,4,0
the please,0.1654,Fraud,4,1
for by,0.1654,Fraud,2,1
been to,0.1642,Fraud,9,3
into the,0.1641,Fraud,10,0
give us,0.164,Fraud,4,1
please do,0.1632,Fraud,4,0
been due,0.1627,Fraud,2,0
our system,0.1623,Fraud,5,0
take of,0.162,Fraud,7,0
an your,0.1618,Fraud,2,0
who can,0.1617,Fraud,3,0
per if,0.16,Fraud,2,0
system your,0.1596,Fraud,2,0
fill,0.1594,Fraud,4,0
for it,0.159,Fraud,6,8
your was,0.159,Fraud,4,1
see,0.1582,Fraud,12,8
of is,0.158,Fraud,4,0
an of,0.1573,Fraud,10,2
to now,0.1568,Fraud,2,0
this call,0.1561,Fraud,3,0
your that,0.1556,Fraud,3,0
your may,0.1549,Fraud,7,0
one to,0.1546,Fraud,2,1
that was,0.1543,Fraud,2,0
seems,0.1542,Fraud,7,2
much,0.1526,Fraud,8,4
will it,0.1523,Fraud,3,0
in serious,0.1516,Fraud,4,0
call from,0.1515,Fraud,2,0
are your,0.1515,Fraud,7,2
made,0.1513,Fraud,11,6
there are,0.1513,Fraud,1,1
more to,0.1512,Fraud,3,0
an part,0.1504,Fraud,4,0
as this,0.1499,Fraud,5,0
with and,0.1497,Fraud,21,6
our of,0.1491,Fraud,9,0
me this,0.1489,Fraud,6,0
am around,0.1486,Fraud,2,0
again,0.1486,Fraud,3,2
more us,0.1484,Fraud,3,0
are we,0.1482,Fraud,3,4
done,0.1479,Fraud,6,0
will to,0.1475,Fraud,5,0
with interest,0.1472,Fraud,2,0
in system,0.1454,Fraud,3,0
in through,0.1454,Fraud,3,0
an we,0.1454,Fraud,8,1
with on,0.1452,Fraud,4,0
with who,0.1449,Fraud,2,0
as you,0.1443,Fraud,8,2
or over,0.1431,Fraud,2,0
or the,0.143,Fraud,2,1
before it,0.143,Fraud,3,0
go we,0.1429,Fraud,2,0
your not,0.1429,Fraud,2,0
not go,0.1429,Fraud,2,0
you at,0.1424,Fraud,2,0
where you,0.1423,Fraud,5,2
be for,0.1423,Fraud,12,7
the now,0.1423,Fraud,4,0
not to,0.1416,Fraud,9,1
to system,0.1414,Fraud,2,0
do for,0.1405,Fraud,2,0
for the,0.1403,Fraud,52,16
yours,0.1402,Fraud,3,0
not or,0.1401,Fraud,2,0
yourself,0.1384,Fraud,19,3
because,0.1381,Fraud,2,1
for detail,0.137,Fraud,2,0
detail to,0.137,Fraud,2,0
detail,0.137,Fraud,2,0
our by,0.1364,Fraud,4,0
with me,0.136,Fraud,2,4
with an,0.1356,Fraud,4,0
per to,0.1356,Fraud,5,0
an that,0.1355,Fraud,8,1
at through,0.1354,Fraud,3,0
through in,0.1354,Fraud,3,0
he is,0.1351,Fraud,3,0
however we,0.1349,Fraud,4,0
of system,0.1349,Fraud,2,0
may the,0.1349,Fraud,4,1
and what,0.1335,Fraud,4,1
for or,0.133,Fraud,3,1
fill out,0.1324,Fraud,3,0
on as,0.1321,Fraud,3,0
us in,0.1315,Fraud,4,0
an this,0.1313,Fraud,2,0
all your,0.1313,Fraud,5,1
have and,0.131,Fraud,8,1
an the,0.131,Fraud,6,0
could see,0.1309,Fraud,5,0
back and,0.1307,Fraud,2,0
less,0.1305,Fraud,3,0
on its,0.1303,Fraud,5,0
with of,0.1295,Fraud,4,0
of in,0.1295,Fraud,6,0
there has,0.1294,Fraud,2,0
we some,0.1282,Fraud,4,0
this with,0.128,Fraud,7,0
not it,0.128,Fraud,3,0
of any,0.1274,Fraud,10,0
here from,0.1273,Fraud,3,0
your call,0.127,Fraud,4,0
at this,0.1266,Fraud,5,6
most,0.1262,Fraud,4,0
our it,0.1258,Fraud,4,0
the this,0.1254,Fraud,6,0
you as,0.1252,Fraud,7,2
first to,0.1251,Fraud,8,1
been am,0.1244,Fraud,3,1
at an,0.1239,Fraud,4,0
will and,0.1238,Fraud,4,0
you from,0.1235,Fraud,2,0
are the,0.1234,Fraud,7,2
be this,0.1232,Fraud,7,1
will for,0.1231,Fraud,2,0
all and,0.1231,Fraud,2,0
an by,0.123,Fraud,3,0
can on,0.1226,Fraud,3,0
will in,0.1226,Fraud,4,0
an from,0.1218,Fraud,5,0
call to,0.1217,Fraud,5,1
will out,0.1217,Fraud,4,0
once you,0.1212,Fraud,5,0
however to,0.1211,Fraud,4,0
for do,0.121,Fraud,3,0
could your,0.121,Fraud,6,1
each,0.121,Fraud,4,1
me in,0.1208,Fraud,2,0
name by,0.1207,Fraud,4,1
have or,0.1198,Fraud,3,2
with we,0.1193,Fraud,5,0
to these,0.1193,Fraud,2,0
of over,0.1191,Fraud,2,0
can up,0.1191,Fraud,7,3
one can,0.119,Fraud,2,0
on now,0.119,Fraud,2,0
only one,0.119,Fraud,2,0
it we,0.1189,Fraud,3,2
our once,0.1183,Fraud,7,0
get your,0.1182,Fraud,3,0
from is,0.1179,Fraud,2,1
been this,0.1178,Fraud,2,0
out from,0.1176,Fraud,4,0
the yourself,0.1174,Fraud,4,0
once in,0.1167,Fraud,2,0
to each,0.1154,Fraud,3,1
yours my,0.1153,Fraud,2,0
and yours,0.1153,Fraud,2,0
are about,0.1153,Fraud,3,2
upon,0.115,Fraud,6,0
my we,0.115,Fraud,3,0
so our,0.1148,Fraud,2,0
not the,0.1143,Fraud,4,0
to into,0.1141,Fraud,3,0
up your,0.1135,Fraud,6,3
once the,0.1131,Fraud,10,0
in more,0.1129,Fraud,2,1
to for,0.1126,Fraud,17,9
been as,0.1125,Fraud,3,0
made to,0.1125,Fraud,3,0
please with,0.1119,Fraud,3,0
such as,0.1117,Fraud,4,1
been your,0.1115,Fraud,5,0
with it,0.1111,Fraud,2,0
the at,0.111,Fraud,15,7
us by,0.1107,Fraud,2,0
as well,0.1106,Fraud,1,2
is of,0.1105,Fraud,7,1
nine,0.1103,Fraud,2,0
from yourself,0.1101,Fraud,4,0
part in,0.1098,Fraud,2,0
be you,0.1098,Fraud,3,1
can be,0.1092,Fraud,3,2
into and,0.1085,Fraud,2,0
be among,0.1083,Fraud,6,1
among,0.1083,Fraud,6,1
among the,0.1083,Fraud,6,1
and with,0.1083,Fraud,10,2
some and,0.1083,Fraud,3,0
my your,0.1081,Fraud,2,0
your my,0.1081,Fraud,2,0
the most,0.108,Fraud,3,0
that you,0.1079,Fraud,13,7
this now,0.1074,Fraud,11,0
through this,0.1072,Fraud,11,0
been part,0.1072,Fraud,2,0
have our,0.1072,Fraud,4,0
have some,0.107,Fraud,3,2
to further,0.1067,Fraud,2,0
for in,0.1066,Fraud,9,2
will see,0.1064,Fraud,6,0
amount of,0.1062,Fraud,2,0
your from,0.1061,Fraud,5,1
how much,0.1059,Fraud,4,1
now this,0.1058,Fraud,2,0
was for,0.1057,Fraud,2,0
please we,0.1055,Fraud,2,0
each it,0.1048,Fraud,2,0
while now,0.1048,Fraud,2,0
are of,0.1045,Fraud,8,2
me your,0.1044,Fraud,2,0
up us,0.1042,Fraud,2,0
the our,0.1042,Fraud,8,0
or will,0.1039,Fraud,2,0
will never,0.1038,Fraud,2,0
less than,0.1036,Fraud,2,0
more and,0.1036,Fraud,3,0
but you,0.1036,Fraud,2,0
system you,0.1034,Fraud,2,0
of but,0.1031,Fraud,2,0
that we,0.103,Fraud,6,2
serious and,0.1029,Fraud,3,0
not this,0.1025,Fraud,5,0
see our,0.1018,Fraud,3,0
could with,0.1018,Fraud,3,0
within few,0.1018,Fraud,3,0
see within,0.1018,Fraud,3,0
with if,0.1018,Fraud,3,0
first as,0.1018,Fraud,3,0
an you,0.101,Fraud,3,0
at or,0.1006,Fraud,12,0
few to,0.0997,Fraud,3,1
by for,0.0994,Fraud,2,0
you now,0.099,Fraud,2,0
from into,0.0989,Fraud,3,0
we we,0.0984,Fraud,3,0
please us,0.0978,Fraud,2,2
never before,0.0974,Fraud,4,0
our may,0.0973,Fraud,2,0
of up,0.0971,Fraud,5,0
is much,0.0968,Fraud,2,0
done you,0.0967,Fraud,4,0
anyone,0.0965,Fraud,3,0
from due,0.0956,Fraud,2,0
here we,0.0954,Fraud,3,0
are well,0.0948,Fraud,4,0
an into,0.0942,Fraud,3,0
on you,0.0937,Fraud,2,3
for you,0.0929,Fraud,24,17
am my,0.0928,Fraud,2,0
what do,0.0922,Fraud,3,0
get to,0.0918,Fraud,2,0
before the,0.0918,Fraud,5,3
before your,0.0916,Fraud,2,0
at the,0.0914,Fraud,19,7
and once,0.0913,Fraud,7,0
be we,0.0913,Fraud,2,0
system this,0.0912,Fraud,2,0
seems to,0.0908,Fraud,3,0
there seems,0.0908,Fraud,3,0
your there,0.0891,Fraud,2,2
the out,0.089,Fraud,2,0
you is,0.0888,Fraud,2,0
our through,0.0884,Fraud,10,0
be once,0.0882,Fraud,3,0
much can,0.0881,Fraud,2,0
this how,0.0881,Fraud,2,0
and so,0.0877,Fraud,5,3
serious to,0.0872,Fraud,2,0
to will,0.087,Fraud,3,0
you to,0.0869,Fraud,87,61
of at,0.0865,Fraud,2,1
without,0.0862,Fraud,8,2
on with,0.086,Fraud,4,1
which,0.0859,Fraud,2,0
off the,0.0856,Fraud,3,0
system has,0.0849,Fraud,2,0
for and,0.0848,Fraud,17,5
an but,0.0844,Fraud,2,0
the be,0.0844,Fraud,2,0
the where,0.0843,Fraud,2,0
with are,0.0842,Fraud,2,1
has up,0.0838,Fraud,4,1
be your,0.0837,Fraud,2,1
have with,0.0837,Fraud,3,1
will have,0.0832,Fraud,2,0
as are,0.0829,Fraud,3,0
where do,0.0828,Fraud,2,0
on our,0.0827,Fraud,14,3
get at,0.0825,Fraud,2,0
without any,0.0821,Fraud,4,0
in there,0.0819,Fraud,2,0
it seems,0.0818,Fraud,4,2
is for,0.0816,Fraud,35,16
so your,0.0816,Fraud,9,0
have already,0.0815,Fraud,3,0
here the,0.0812,Fraud,3,0
your into,0.0809,Fraud,4,0
our be,0.0808,Fraud,2,0
seems there,0.0806,Fraud,2,0
for only,0.0804,Fraud,5,0
you all,0.0803,Fraud,4,0
at our,0.0802,Fraud,3,2
not anyone,0.0798,Fraud,2,0
but could,0.0798,Fraud,2,0
anyone but,0.0798,Fraud,2,0
this and,0.0797,Fraud,8,3
the here,0.0796,Fraud,4,0
to once,0.0796,Fraud,3,0
very you,0.0796,Fraud,2,0
its now,0.0787,Fraud,2,0
and fill,0.0782,Fraud,2,0
may in,0.0773,Fraud,5,1
our can,0.0765,Fraud,3,2
it has,0.0762,Fraud,7,6
your well,0.076,Fraud,2,0
me with,0.0757,Fraud,2,1
from to,0.0754,Fraud,7,5
with you,0.0754,Fraud,16,7
well however,0.0754,Fraud,3,0
once this,0.0754,Fraud,3,0
is done,0.0754,Fraud,3,0
any this,0.0754,Fraud,3,0
could to,0.0751,Fraud,2,0
the do,0.0748,Fraud,2,0
made your,0.0746,Fraud,2,0
and take,0.0744,Fraud,2,0
to from,0.0736,Fraud,3,0
and never,0.0735,Fraud,2,0
the is,0.0734,Fraud,16,3
all you,0.0732,Fraud,4,0
do is,0.0732,Fraud,4,0
per are,0.073,Fraud,2,0
has that,0.0728,Fraud,2,0
would also,0.0726,Fraud,2,0
also it,0.0726,Fraud,2,0
only your,0.0726,Fraud,3,0
our at,0.0725,Fraud,17,6
we for,0.072,Fraud,7,2
with now,0.0718,Fraud,2,0
get our,0.0718,Fraud,3,0
can see,0.0715,Fraud,3,1
off your,0.0713,Fraud,2,0
next you,0.0707,Fraud,1,1
we from,0.0704,Fraud,2,0
because we,0.0704,Fraud,1,1
get for,0.0701,Fraud,3,0
am an,0.0691,Fraud,3,0
and other,0.0689,Fraud,6,1
was by,0.0676,Fraud,2,0
what is,0.0675,Fraud,7,4
this in,0.0674,Fraud,3,0
to at,0.0673,Fraud,5,3
is please,0.0673,Fraud,2,1
in full,0.0672,Fraud,2,0
call is,0.0661,Fraud,2,0
well,0.0659,Fraud,11,8
out your,0.0657,Fraud,2,0
give,0.0654,Fraud,6,5
the you,0.0652,Fraud,30,19
get the,0.0651,Fraud,5,1
as for,0.065,Fraud,2,0
our that,0.065,Fraud,3,0
ever to,0.0649,Fraud,2,0
will that,0.0645,Fraud,3,0
off,0.0642,Fraud,7,4
for part,0.064,Fraud,3,0
these to,0.0639,Fraud,2,0
but it,0.0639,Fraud,1,1
been with,0.0638,Fraud,2,1
take to,0.0637,Fraud,2,0
will this,0.0637,Fraud,4,0
for once,0.0636,Fraud,2,0
into us,0.0634,Fraud,2,0
up for,0.0634,Fraud,8,10
are where,0.0629,Fraud,2,0
across,0.0625,Fraud,7,8
there am,0.062,Fraud,2,0
must to,0.0617,Fraud,2,0
be one,0.0617,Fraud,3,0
we may,0.0616,Fraud,7,0
as of,0.0615,Fraud,3,0
two,0.0613,Fraud,2,0
that,0.0611,Fraud,72,52
along the,0.0608,Fraud,3,0
be with,0.06,Fraud,4,1
now we,0.0598,Fraud,2,0
an it,0.0598,Fraud,2,0
this are,0.0598,Fraud,2,0
not an,0.0598,Fraud,2,0
our has,0.0597,Fraud,6,0
our under,0.0593,Fraud,3,0
your once,0.0592,Fraud,2,0
have the,0.0583,Fraud,6,2
for being,0.0581,Fraud,2,1
of by,0.058,Fraud,2,0
after,0.058,Fraud,13,3
is up,0.0573,Fraud,1,3
this all,0.0569,Fraud,2,0
beyond,0.0566,Fraud,2,0
has of,0.0563,Fraud,3,0
on am,0.0559,Fraud,4,0
towards,0.0559,Fraud,4,0
see your,0.0559,Fraud,4,0
in very,0.0559,Fraud,4,0
towards through,0.0559,Fraud,4,0
you some,0.0555,Fraud,2,1
you further,0.0548,Fraud,2,1
about this,0.0536,Fraud,1,1
after the,0.0535,Fraud,3,0
through our,0.0534,Fraud,6,1
every,0.0526,Fraud,4,2
into of,0.0521,Fraud,2,0
or where,0.052,Fraud,6,0
where our,0.052,Fraud,6,0
due,0.0515,Fraud,12,11
our via,0.051,Fraud,2,0
be an,0.0506,Fraud,2,0
via,0.0505,Fraud,3,2
in no,0.0505,Fraud,6,1
and if,0.05,Fraud,2,0
as as,0.0499,Fraud,3,1
an off,0.0498,Fraud,3,0
full to,0.0498,Fraud,2,0
it could,0.0497,Fraud,2,1
and can,0.0489,Fraud,3,3
we our,0.0488,Fraud,6,0
may be,0.0485,Fraud,9,2
here me,0.0484,Fraud,3,0
me you,0.0476,Fraud,6,1
the with,0.0475,Fraud,13,2
found,0.0475,Fraud,5,10
not only,0.0475,Fraud,3,0
any me,0.0473,Fraud,2,0
made name,0.0473,Fraud,2,0
are that,0.0472,Fraud,4,1
our as,0.0471,Fraud,2,0
to has,0.0467,Fraud,3,1
first within,0.0467,Fraud,2,0
their after,0.0465,Fraud,4,0
after in,0.0465,Fraud,4,0
us our,0.0465,Fraud,2,1
top,0.0464,Fraud,3,0
to name,0.0461,Fraud,3,1
am to,0.0458,Fraud,20,10
has for,0.0454,Fraud,3,0
we is,0.045,Fraud,2,1
such,0.0447,Fraud,5,4
here to,0.0436,Fraud,9,3
now for,0.0434,Fraud,12,3
our where,0.0431,Fraud,2,0
your or,0.0431,Fraud,9,6
into your,0.043,Fraud,3,1
and however,0.043,Fraud,2,0
name if,0.0425,Fraud,1,2
it if,0.0424,Fraud,2,1
and along,0.0423,Fraud,2,0
to on,0.0421,Fraud,8,6
first in,0.042,Fraud,2,0
can for,0.0415,Fraud,1,1
also your,0.0411,Fraud,2,0
and into,0.0408,Fraud,1,1
in please,0.0406,Fraud,2,1
are if,0.0398,Fraud,2,0
see of,0.0398,Fraud,2,0
of name,0.0398,Fraud,2,0
all towards,0.0398,Fraud,2,0
on their,0.0398,Fraud,8,1
name have,0.0396,Fraud,10,9
few this,0.0389,Fraud,3,1
is amount,0.0386,Fraud,2,0
your me,0.0382,Fraud,3,2
the but,0.0381,Fraud,3,0
you our,0.0379,Fraud,4,1
to see,0.0377,Fraud,2,3
for could,0.0376,Fraud,3,2
