idx,true,text,length,bow
16,Normal,혹시 자신의 성격에 대해서 어떻게 생각하세요? 저는 처음 보는 사람이랑은 사실 잘 얘기를 하지 못하고 낯을 가리는 라고 많이 설명되는 그런 성격이지만 친해지고 나면은 많이 어~ 애정을 주고 조금 관심을 갖고 그렇게 살펴보는 그런 성격입니다. 사람과의 관계를 되게 중요시 하기 때문에 나쁜 말이라든지 비난 뭐 이런 거를 잘하지 못하는 성격이라서 착한 아이 콤플렉스라는 말도 조금 많이 들어왔었던 거 같습니다. 대신에 어~ 그것과 반대로 쪼금 친절하다거나 고런 좋은 점을 에~ 많이 갖고 있다고 생각을 하고요. 어~ 말 같은 거를 하기 조금 힘들어하는 성격이라서 글로 많이 쓰기도 하고 에~ 소심하다고도 에~ 많이 생각을 합니다. 어~ 그거하고 그리고 조금 꼼꼼하지 못한 편이라서 계획을 많이 세우고 하는 타입이고요. ,Fraud,Normal
17,Normal,"B: bueno bueno entonces este, programa va, programa vieney lo del viernes pasado. B: alerta roja eso también te bueno. A: sí, sí sí. B: el sábado no, que de los partidos, que no se jugaron, que antisemitismo, que miedo que esto, que lo otro. B: bueno cosa que muchas. A: que es mejor no estar cerca de los judíos porque es peligroso. B: sí, sí sí sí e-. A: sí. B: de así bueno, este. B: mejor que vay",Fraud,Normal
18,Normal,네. 혹시 좋아하는 음식 있으세요? 네. 좋아하는 음식은요. 요즘 부쩍 파스타가 맛있더라고요. 예전에는 이렇게 밀 아니요. 그게 우유 카스 우유가 아니고 크림 파스타가 예전에는 조금 제가 느 느끼하고 싫어했는데 요즘은 먹으면은 왠지 고소하고 맛이 있어가지고 한 번씩 그 파스타를 찾아서 먹게 먹게 돼요. 근데 저는 치즈도 맛있고 저는 외국 가도 딴 사람들은 치즈 못 먹고 니글니글하다고 그러고 막 그러는데 저는 이상하게 외국 가서 김치 생각 한 개도 안 나고 그냥 파스타만 먹고 피자만 먹어도 1주일 정도 를 저는 견딜 수가 있고 버틸 수가 있더라고요. 저는 그러니까 예 친구들도 같이 외국 가면은 빵이랑 파스타 막 싫어하는데 저는 그것만 갖고도 계속 잘 먹을 수 있으니까 그게 조금 좋은 거 같아요. 왠지 저는 치,Fraud,Normal
19,Fraud,thank you for calling Norton this is how may I help you yes my name is I was trying to contact my wife was working with them on getting an invoice refunded to us okay so do one thing open up your Google Chrome you want me to click on any desk okay it's got okay now give a click on download now now you need to click on never show incoming session do you see third option over there never show incomi,Fraud,Fraud
20,Normal,어~ 나는 어릴 때부터 연예인들에 대해서 되게 관심이 많았단 말이야. 어~ 내가 되게 어렸을 적 부터도 그냥 동화책 아니면 티브이에 나오는 사람들 보는 거밖에 없어가지고 내가 티브이에 나오는 사람들 중에 최초로 알았던 사람이 아유미거든. 그래서 아유 그냥 거기 나온 사람은 아유미밖에 모르니까 그 사람 되게 좋아했었어. 이유도 모르고 근데 이제 초등학교 들어가고 중학교 들어가면서부터 이제 애들이 아이돌에 관심을 되게 많이 갖는 거야. 뭐 그때부터 봤던 사람들이 유승우나 아니면 방탄소년단 레드벨벳 이런 애들 되게 좋아했단 말이야. 내가 되게 나는 아이돌 위주로 좋아했었는데 너는 좋아했던 연예인이 주로 어떤 사람이었는지 궁금해. 음~ 이거에 대해 진짜 할 말이 많은데 나도 진짜 누구보다 못지않게 연예인을 되게 많,Fraud,Normal
21,Fraud,"[NAME], is this you? Is this you? It's [NAME] from SL Uni. I'm calling because you were personally referred by your friend [NAME], a student of ours. Because of that, your educational support account has been activated with $7,395 in starting funds that you can use right now for school, training, or extra income opportunities. To access the funds, press 1, and you'll receive your secure link insta",Fraud,Fraud
22,Normal,요즘 저기 어~ 장마철이기도 하지만 오이지들 주변에 친구 분들도 그렇고 담그는 법 많이 담그드라고요. 근데 제가 그걸 잘 모르는데 좀 어떻게 담그는 법 조금 알려주시면 안 될까요? 아~ 저 같은 경우도 뭐 하도 오이지는 그냥 여러 가지 방법들 자기네 그~ 가족들의 입맛에 맞게끔 담가 먹어서 저도 어떤 것이 어떻게 담가야 맛있는 건지 그거까지는 자세히는 잘 모르겠는데 저는 거의 1년에 한 번 꼭 이때 되면은 오이지는 그냥 저희 먹을 것은 조금이라도 좀 담그거든요. 근데 인제 저 같은 경우는 오이가 너무 조금 작아도 어~ 조금 맛이 조금 별론 거 같고 중사이즈로 뭐 한 50개 정도 사면은 그냥 예를 들어서 냉면기로 물 다섯이면은 소금은 그냥 80 프로 그러니까 물이 다섯 개면 그 냉면기로 저~ 소금이 어~ 약간,Fraud,Normal
23,Fraud,"中国领事馆提醒您, 您有一份重要通知书, 尚未领取, 查询请按3。",Normal,Fraud
24,Normal,너 최근에 경기해 본 적 있어? 최근에는 본 적 없고 이때 평창 동계 올림픽 때 이후로는 본 적 없는 거 같 은 거 같아. 평 너 이때 실시간으로 이 경기 영상 봇 봤었어? 에~ 나 이때 안 봤었던 거 같아. 뭔가 초딩 초등학교 때 이후로 올림픽이나 월드컵을 실시간으로 뭔가 찾아서 본 적이 어~ 별로 없는 거 같아. 너 이때 경기 갔을 때 어땠어? 나 내가 그~ 올림픽이나 이런 월드컵 경기 같은 거 관심 스포츠에 관심이 많아서 이때도 실시간으로 보고 있었는데 이유빈 선수 넘어지는 순간 끝났구나 생각했는데 점점 올라가는 점점 순위가 올라가는 모습 보고 진짜 끈기가 있으면 대단하 나라는 생각을 했었던 거 같아. 너도 이런 이~ 경기처럼 뭔가 실패했구나 생각했는데 성공한 적 있어? 나는 뭐 공부할 아 공부하거나 ,Fraud,Normal
25,Fraud,"Fargo is on hold due to suspicious activities. If you did not apply to open a business account with us, then press 1 and speak with one of our representatives to record identity theft. But if you applied for it, then you are required to visit one of our nearest branches to complete the verification. I repeat, press 1 if you did not apply for it. Thank you.",Fraud,Fraud
26,Normal,4계절 중에 가장 좋아하는 계절은 어떤 계절인가요? 저는 가을을 가장 좋아합니다. 가장 좋아하는 이유는 여름을 가장 싫어하는데 여름이랑 가장 먼 계절이라서 가을을 제일 좋아하고 날씨도 선선하고 밖에서 산책하고 돌아다니는 걸 좋아해서 야외활동하기에는 좋은 계절이라 가을을 좋아합니다. 가장 생각나는 계절 있으신가요? 가장 생각나는 계절은 봄입니다. 4계절 중 덥지도 춥지도 않은 따뜻한 봄에 어~ 새 학기 를 맞아서 친구들과 새롭게 만나서 놀고 학교도 가고 만나서 즐겁게 놀고 공부도 할 생각을 하면 봄이 가장 좋은 계절 입니다. 4계절 중 가장 싫어하는 계절은 어떤 계절이신가요? 4계절 중 가장 싫어하는 계절은 여름입니다. 여름은 사 계절 중에 가장 덥고 습하면서 제가 더운 걸 싫어해서 여름을 가장 싫어합니다. ,Fraud,Normal
27,Fraud,"This is the notifications department from your electric company service provider. You have an automatic interruption of service in the next 30 to 45 minutes due to delinquent account status. If you find this to be an error or would like to stop the interruption, please press 1 to speak with the billing department. Otherwise, please press 2 to speak with the disconnections department. Thank you for",Fraud,Fraud
28,Normal,얼마 전에 이런 기사가 있더라고. 유조선 이 뭐 우리 사우디아프 사우디아프리카나 이렇게 원유가 많이 나라 나는 나라들에서 채취한 원유를 처리를 못해서 유조선을 그냥 띄운다는 거야. 그러니까 자기네들 주유소가 너무 꽉 찬 거지. 저장 공간이. 그래서 유조선을 띄워. 띄워서 목적지가 없는 유조선을 띄워놓고 그냥 연안에 놔두겠지. 놔두고 각국에다가 이렇게 이야기를 한다는 거지. 유조선 한 척에 들어있는 기름 팔아요. 대신에 가져가만 주시면 공짜로 드립니다. 와우 이거 웬걸. 그러면 우리나라도 기름 값도 조금 떨어지겠네 기대를 했더니 우리는 기름 값이 떨어지기는커녕 10원인가 20원인가 찔끔 세상에 어~ 산유국에서 원유를 캐다가 직접 유조선에 넣어서 가져가세요. 가져가만 드리 가져가만 가시면 공짜로 원유를 다 드립,Fraud,Normal
29,Normal,살아오면서 받은 선물 가운데서 최고의 기억에 남는 선물이 뭐예요? 최고로 좋았던 거 최고로 좋았던 선물은 어~ 우리 아들 태어났을 때 하나님이 이렇게 귀한 아들을 나에게 주신 거에 대해서 너무 감사해서 얼마나 울었는지 몰라요. 왜냐면 우리 친정엄마는 음~ 아이들을 딸을 다섯을 낳고 아들을 낳었거든요. 그래서 우리 할머니한테 엄청 많이 음~ 음~ 조금 이렇게 구박당하는 걸 많이 어렸을 때 봤어요. 그래서 나는 시집가서 딸을 열을 낳아도 스물을 낳아도 아들 날 때까지 낳아야지 했는데 우리 아들을 첫 첫아들을 얻고 보니까 너무 큰 선물을 받은 거 같아서 그 선물을 우리 엄마한테 자랑하고 싶은 거예요. 근데 우리 엄마가 이 땅에 없어서 자랑을 못 하는 것이 아깝더라고요. 이 선물을 자랑하고 싶은 사람이 너무 많더라,Fraud,Normal
30,Normal,agent: hello agent: this is harper valley national bank my name is robert how can i help you today caller: [noise] hi my name is michael smith i need a new checkbook agent: okay what is your address caller: my address is two nine one main street caller: in forest ranch california caller: zip code is gonna be zero two two nine eight agent: okay i have a new check book has been sent to your home add,Fraud,Normal
31,Normal,어렸을 때부터 주로 했던 운동이 있어? 나는 중학교 때부터 농구를 꾸준히 해 왔고 고등학교 때부터 정식적으로 하기 시작했으며 현재까지 여 여 열심히 이어가려고 노력하고 있는 중이야. 그렇다면 너는 농구선수 중에 혹시 좋아하는 스포츠 선수가 있니? 나는 인제 엔비에이 엔비에이에서 이제 카이리 어빙이라고 지금 브루클린에서 뛰고 있는 선수가 있어. 그 선수는 이~ 가드 포지션으로 이제 팀에 이제 공 배분이나 주득점원 역할을 하고 있어. 너는 좋아하는 선수가 있니? 나도 마찬가지로 농구 선수 중에서 좋아하는 사람이 있는데 역시 나는 농구 선수 중에선 전설적인 선수라고 할 수 있는 마이클 조던을 제일 좋아하는 거 같아. 마이클조던의 그 화려한 볼 움직임과 패스 능력 그리고 슛 능력 그리고 종합적인 능력 모두가 내 이,Fraud,Normal
32,Normal,지금 키우고 있는 어~ 동물이 있나요? 없습니다. 없고요. 동물은 제가 사실은 그 반려동물 굉장히 좋아하거든요 어느 순간부터인진 모르겠는데 그 살아있는 생물체들이 너무 귀엽고 예쁘고 그냥 보기만 해도 힐링이 되더라고요. 그래서 유튜브를 보면은 반려동물 채널이 진짜 많아요. 그런 거를 자주 보게 되더라고요. 근데 정작 저희 집은 반려동물을 키운 적이 없어요. 어~ 정말 작은 동물 예를 들면 햄스터를 한 번 키운 적은 있어요. 제가 한 초등학교 저학년 때 어~ 그때 키운 적 있는데 세 마리를 키웠었거든요. 근데 세 마리 다 죽었어요. 물론 죽죠. 햄스터는 또 그 명이 짧으니까. 근데 제가 초등학교 저학년이기도 했고 너무 만지기도 했고 한 마리는 스트레스 받아서 단명했고요. 두 번째는 어~ 이제 명절이 껴 있었는,Fraud,Normal
33,Fraud,"third-party supplier, you will be receiving $50 reward along with 30% discount on your electric and gas bill. Please press 1 and get your $50 reward card.",Normal,Fraud
34,Fraud,"[NAME], we need to talk. Urgent alert, this is [NAME] with the United Benefits Bureau. Your file shows a pending financial benefits package program assistance, several thousand dollars that available only for a short period under the current program. These benefits can assist with groceries, fuel, and utilities. Your eligibility remains active for now, but the review period is closing soon. Act no",Fraud,Fraud
35,Fraud,your account before the next billing cycle. Congratulations on your excellent payment history. You now qualify for a 0% interest rate on all your credit card accounts. This is a limited time offer and you must respond immediately. Press 1 now to speak to our qualification department and complete the enrollment process.,Fraud,Fraud
36,Fraud,yes hello yeah hello am I talking to now? Yes. Yeah hi this is from Hotmail support department I'm your email service provider so how are you doing today? Uh Hotmail okay what's the call about? Um let me confirm your email address at hotmail.com is that correct? Uh yeah that's right and so yeah within 48 hours ago did you trying to change your hotmail acount password more than 50 times? uh no I ha,Fraud,Fraud
37,Fraud,how can I help you hi I had a missed call from this number all right sir let me have a quick check all right and i'll let you know can you please hold the line for a second okay no problem yes are you there yes yes thank you for holding the line sir uh what i can see is like we just received an order of an iphone 11 worth 799 from your account so are you aware about the purchase no i'm not okay al,Fraud,Fraud
38,Normal,agent: this is <unk> hello this is harper valley national bank my name is linda agent: how can i help you today caller: [noise] caller: hi my name is jennifer brown i lost my credit card can you send me a new one agent: okay can you repeat that please caller: um uh i lost my credit card caller: can you send me a new one agent: sure i'd be glad to agent: which card would you like to replace caller:,Fraud,Normal
39,Fraud,"Participant ID#233 [0:00]		[Calling sound] Victim:		[0:15] Hello? Attacker:	[0:16] Oh, hi, I’m Jane from the UCI Registrar’s Office and I have a couple of questions about your course registration. Am I speaking to [Censored]? Victim:	[0:26] Yes.  Attacker:	[0:27] Ok thanks a lot. Uhm, please give me your social security number for verification purposes? Victim:	[silence]  [End of Recording]",Fraud,Fraud
40,Fraud,"여보세요 아 예 그 박경식 사건 관련 자신의요 예.   아이고 어떻게 또 여기에 또 여유가 되셔 가지고 또 조사를 받으십니까?   지금 저희 수사관 하고 통화 하셨죠? 사건은 내용에 대해서는 정확하게 전달을 다 드셨나요? 저는 지금 작은 거는 아니에요. 명의도용사건 관련해 가지고 지금 그 금융권에서 계좌를 검거하는 당시에 현장에서 본인 명의로 된 통장이 발견됐는데 간단하게 말씀드릴게요. 그 통장들이 나쁜 용도로 사용이 됐어요. 신한은행 하고 농협 계좌인데 이게 그 불법 인터넷 사설도박사이트 그 법적인 자금을 위해서 그 대포통장으로 사용이 되고, 그리고 그 인터넷상에 물건을 판매하는 것처럼 올려 놓은 다음에 다른 피해자들 이용자들로부터 돈을 그 해당 계좌로 입금을 받았어요. 계좌로 뭐 다른 피해자들 어떻게 생",Fraud,Fraud
41,Fraud,"Hi, this is Officer calling you from the Customs and Border Protection. The very second you receive this message, you need to leave your work aside so that we can discuss about your case and take necessary action on this matter in order to connect. With Officer, press 1 and you will be connected to the Concerned Department. If we don't hear from you, then we will be forced to take action against y",Fraud,Fraud
42,Normal,agent: hello this is harper valley national bank my name is michael how can i help you today caller: hi my name is patricia jones i would like to pay a bill agent: okay let's get that done for you and what is the company name caller: the company is smart electric agent: [noise] agent: okay agent: and what is the company address caller: the address is caller: five zero nine first street caller: har,Fraud,Normal
43,Fraud,"[NAME], we need to talk. Is this you? It's [NAME] from ITUni. I'm calling because you were personally referred by your friend [NAME], a student of ours. Because of that, your educational support account has been activated with $7,395 in starting funds that you can use right now for school, training, or extra income opportunities. To access the funds, press 1, and you'll receive your secure link in",Fraud,Fraud
44,Fraud,purpose of the call we are trying to reach you to let you know that your social security number has been used for some kind of fraudulent activities in the south border of Texas. So please in order go ahead get more information. To speak with officer press one. I repeat press one. Thank you and have a great day.,Fraud,Fraud
45,Normal,agent: hello my name is mary thank you for calling harper valley national bank how can i help you today caller: [noise] caller: [noise] caller: hi my name is david williams i need a new checkbook agent: okay agent: and david what's your address caller: uh my address is eight five five first street caller: harper valley california caller: [noise] caller: [noise] agent: mhm caller: eight nine four f,Fraud,Normal
46,Fraud,남성 신발 주세요가 왜냐면요? 저희 남부지검에서 바를 했는데요. 현장에서 신용카드와 대포 통장 만들었습니다. 있거든요 본인께서 타인의 명의를 빌려 주셨다. 던지 않으시며 하신 적 있으십니까? 어머님께서 씨티은행 앱 실행하고 외환 은행 시카고 뒤쪽에 해봤는데요. 왔거든요네 그래서 오늘 본인 앞으로.  본인들이 직접 하신 건지 연락을 드린 거거든요. 이번 사건의 중국 여자 분들이 지금 상태가 아니기 때문에 맡길 것 같으면 예 그리고 보니 됐고요. 있기 때문에 지금 못가 아니에요 다시 확인차 질문을 드릴 건데요 지금 통화 가능하신 분 맞으신가요? 서울남부지방검찰청 있고요. 증권범죄합동수사단 김민정 수사관입니다. 지금 통화 가능 하실 거예요.  드릴 건데 있는 그대로 말씀해 주시면 되지거든요. 남성 드시면 분이십니,Fraud,Fraud
47,Normal,agent: hello this is happy valley national bank my name is linda how can i help you today caller: hi my name is james rodriguez caller: i would like to schedule an appointment agent: sure i can help you with that uh what day would you like for what day would you like for your appointment caller: tuesday please agent: okay tuesday agent: and what time would you lie for your appointment caller: thre,Fraud,Normal
48,Normal,오빠는 음식 중에 어떤 음식 종류를 좋아해? 어떤 음식? 나는 좀 뭔가 되게 기름기 있는 음식 좋아하는 거 같아. 기름기 음식이 기름진 음식 중에서 좀 약간 삼겹살이라든가 치킨이라든가 이런 약간 그~ 좀 단백질 음식들을 좀 좋아하는 거 같은데 어~ 그~ 특히 약간 삼겹살 중에도 아~ 삼겹살도 좋아하는데 그~ 그 항정살 있잖아. 그거를 좀 구울 때 좀 맛있더라고. 그래서 그거를 좀 구워 먹을 때 좀 아~ 좀 약간 쌈장이랑 상추랑 해가지고 이렇게 마늘이랑 같이 이렇게 먹는 게 맛있더라고. 그리고 또 되게 치킨 중에서도 되게 바삭바삭 한 거 있잖아. 막 좀 기름이 줄줄 새는 그런 딱 이로 딱 물었을 때 아그작 소리가 나는 그런 바삭한 걸 좋아해. 너는 어떤 음식을 좋아하니? 나도 기름진 거를 좋아하는데 오빠가 방,Fraud,Normal
49,Normal,caller: [noise] agent: hello this is harper valley national bank my name is <unk> how can i help you today caller: hi my name is linda jones i need a new checkbook agent: oh sure i can help you with that agent: um agent: what is your address caller: it's seven nine eight caller: first street agent: and what is the city caller: it's forest ranch agent: [noise] agent: forest ranch agent: and the sta,Fraud,Normal
50,Normal,agent: hello this is harper valley national bank my name is robert and how can i help you today caller: [noise] caller: hi my name is patricia williams caller: i would like to reset my password agent: sure uh what phone number caller: [noise] caller: my phone number is eight one zero caller: three three four caller: three zero seven two agent: okay your password reset link has been sent to your ph,Fraud,Normal
51,Normal,agent: hello this is harper valley national bank my name is james agent: how can i help you today caller: hi my name is michael brown caller: i lost my credit card can you send me a new one agent: i sure can agent: give me one moment agent: okay agent: you have a new credit card on the way is there anything else that i can do for ya caller: no that was everything agent: okay well have a great day ,Fraud,Normal
52,Fraud,지금부터 상황 보고서 작성 에녹치과 들어 가실 겁니다. 신사업 팀으로 상황보고서 공문이 내려 오셨구요이 부분은 고객님 동의하에 진행이 가능하십니다에서 뭐 하십니까? 고객님 하시고요 그랬으면서 보고서 공무원 신사동 결제팀 송경원 팀장님께 바로 올려 드리도록 하겠습니다. 이상 없으시고요 지금 아마 12시 반 정도 되셨으니까 좀 진행하면서 들으시면 오늘 4시까지는 작은 받아보실 수 있을 겁니다. 고객님네 저한테 전화 좀 한 통 좀 주시고요 감사합니다.,Fraud,Fraud
