idx,true,length,bow,llm_only,singh,webrag
44,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
45,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
46,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
47,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
48,Normal,Normal,Normal,Normal,Normal,Normal
49,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
50,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
51,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
52,Normal,Normal,Normal,Normal,Fraud,Normal
53,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
54,Normal,Normal,Normal,Normal,Normal,Normal
55,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
56,Normal,Normal,Normal,Normal,Normal,Normal
57,Normal,Normal,Normal,Normal,Fraud,Normal
58,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
59,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
60,Normal,Normal,Normal,Fraud,Normal,Normal
61,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
62,Normal,Normal,Normal,Normal,Normal,Normal
63,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
64,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
65,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
66,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
67,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
68,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
69,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
70,Normal,Normal,Normal,Normal,Normal,Normal
71,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
72,Normal,Normal,Normal,Fraud,Normal,Normal
73,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
74,Normal,Normal,Normal,Fraud,Normal,Normal
75,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
76,Normal,Fraud,Normal,Fraud,Normal,Normal
77,Normal,Normal,Normal,Fraud,Normal,Normal
78,Normal,Normal,Normal,Normal,Normal,Normal
79,Normal,Normal,Normal,Normal,Normal,Normal
80,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
81,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
82,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
83,Normal,Normal,Normal,Normal,Normal,Normal
84,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
85,Normal,Normal,Normal,Normal,Normal,Normal
86,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
87,Normal,Normal,Normal,Normal,Normal,Normal
88,Normal,Normal,Normal,Fraud,Normal,Normal
89,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
90,Normal,Normal,Normal,Normal,Normal,Normal
91,Normal,Normal,Normal,Normal,Normal,Normal
92,Fraud,Normal,Fraud,Fraud,Fraud,Normal
93,Normal,Normal,Normal,Fraud,Fraud,Normal
94,Normal,Normal,Normal,Normal,Normal,Normal
95,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
96,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
97,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
98,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
99,Normal,Normal,Normal,Normal,Fraud,Normal
100,Normal,Normal,Normal,Normal,Normal,Normal
101,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
102,Normal,Normal,Normal,Fraud,Normal,Fraud
103,Normal,Normal,Normal,Fraud,Normal,Normal
104,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
105,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
106,Normal,Fraud,Normal,Normal,Fraud,Normal
107,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
108,Normal,Normal,Normal,Normal,Normal,Fraud
109,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
110,Normal,Normal,Normal,Normal,Normal,Normal
111,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
112,Normal,Normal,Normal,Fraud,Normal,Normal
113,Normal,Normal,Normal,Normal,Normal,Fraud
114,Normal,Normal,Normal,Fraud,Normal,Normal
115,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
116,Normal,Normal,Normal,Normal,Normal,Normal
117,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
118,Normal,Normal,Normal,Normal,Normal,Normal
119,Normal,Normal,Normal,Normal,Normal,Normal
120,Normal,Normal,Normal,Fraud,Normal,Fraud
121,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
122,Normal,Normal,Normal,Normal,Normal,Normal
123,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
124,Normal,Normal,Normal,Normal,Normal,Normal
125,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
126,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
127,Fraud,Normal,Fraud,Fraud,Normal,Fraud
128,Normal,Normal,Normal,Normal,Normal,Normal
129,Normal,Normal,Normal,Normal,Normal,Normal
130,Normal,Normal,Normal,Fraud,Fraud,Normal
131,Normal,Normal,Normal,Normal,Fraud,Normal
132,Normal,Normal,Normal,Normal,Normal,Normal
133,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
134,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
135,Normal,Normal,Normal,Normal,Normal,Normal
136,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
137,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
138,Normal,Normal,Normal,Normal,Normal,Normal
139,Normal,Normal,Normal,Normal,Normal,Normal
140,Normal,Normal,Normal,Normal,Normal,Normal
141,Normal,Normal,Normal,Normal,Normal,Normal
142,Normal,Normal,Normal,Normal,Fraud,Normal
143,Normal,Normal,Normal,Normal,Normal,Normal
144,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
145,Normal,Normal,Normal,Normal,Normal,Normal
146,Fraud,Normal,Fraud,Fraud,Fraud,Normal
147,Normal,Normal,Normal,Normal,Normal,Normal
148,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
149,Normal,Normal,Normal,Fraud,Normal,Normal
150,Normal,Normal,Normal,Normal,Normal,Normal
151,Normal,Normal,Normal,Normal,Normal,Normal
152,Normal,Normal,Normal,Normal,Normal,Normal
153,Normal,Normal,Normal,Fraud,Fraud,Normal
154,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
155,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
156,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
157,Normal,Normal,Normal,Normal,Normal,Normal
158,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
159,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
160,Normal,Normal,Normal,Normal,Normal,Normal
161,Normal,Normal,Normal,Normal,Normal,Normal
162,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
163,Normal,Normal,Normal,Normal,Normal,Normal
164,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
165,Normal,Normal,Normal,Normal,Normal,Normal
166,Normal,Normal,Normal,Normal,Normal,Normal
167,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
168,Normal,Normal,Normal,Fraud,Normal,Fraud
169,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
170,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
171,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
172,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
173,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
174,Normal,Normal,Normal,Normal,Normal,Normal
175,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
176,Normal,Normal,Normal,Normal,Normal,Normal
177,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
178,Normal,Normal,Normal,Normal,Normal,Normal
179,Normal,Normal,Normal,Normal,Normal,Normal
180,Normal,Normal,Normal,Fraud,Normal,Normal
181,Normal,Normal,Normal,Normal,Normal,Fraud
182,Normal,Normal,Normal,Normal,Normal,Normal
183,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
184,Normal,Normal,Normal,Fraud,Normal,Normal
185,Normal,Normal,Normal,Normal,Normal,Normal
186,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
187,Normal,Normal,Normal,Normal,Normal,Normal
188,Normal,Normal,Normal,Normal,Normal,Normal
189,Normal,Normal,Normal,Normal,Normal,Normal
190,Normal,Normal,Normal,Normal,Fraud,Normal
191,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
192,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
193,Normal,Normal,Normal,Fraud,Normal,Normal
194,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
195,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
196,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
197,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
198,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
199,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
200,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
201,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
202,Normal,Normal,Normal,Fraud,Fraud,Normal
203,Fraud,Normal,Fraud,Fraud,Fraud,Normal
204,Normal,Normal,Normal,Normal,Normal,Normal
205,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
206,Normal,Normal,Normal,Normal,Normal,Normal
207,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
208,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
209,Normal,Normal,Normal,Normal,Normal,Normal
210,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
211,Normal,Fraud,Normal,Fraud,Normal,Normal
212,Normal,Normal,Normal,Normal,Normal,Normal
213,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
214,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
215,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
216,Normal,Normal,Normal,Normal,Normal,Normal
217,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
218,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
219,Normal,Normal,Normal,Normal,Normal,Normal
220,Normal,Normal,Normal,Normal,Normal,Normal
221,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
222,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
223,Normal,Normal,Normal,Normal,Normal,Normal
224,Fraud,Normal,Fraud,Fraud,Normal,Fraud
225,Normal,Normal,Normal,Normal,Fraud,Normal
226,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
227,Normal,Normal,Normal,Normal,Normal,Normal
228,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
229,Normal,Normal,Normal,Fraud,Normal,Normal
230,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
231,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
232,Normal,Normal,Normal,Fraud,Fraud,Normal
233,Normal,Normal,Normal,Normal,Normal,Normal
234,Fraud,Normal,Fraud,Fraud,Normal,Fraud
235,Normal,Normal,Normal,Normal,Normal,Normal
236,Normal,Normal,Normal,Normal,Normal,Normal
237,Normal,Normal,Normal,Fraud,Normal,Normal
238,Normal,Normal,Normal,Normal,Normal,Normal
239,Normal,Normal,Normal,Normal,Normal,Normal
240,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
241,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
242,Normal,Normal,Normal,Normal,Fraud,Normal
243,Normal,Normal,Normal,Normal,Normal,Normal
244,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
245,Normal,Normal,Normal,Fraud,Normal,Normal
246,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
247,Normal,Normal,Normal,Normal,Normal,Normal
248,Normal,Normal,Normal,Normal,Normal,Normal
249,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
250,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
251,Normal,Normal,Normal,Normal,Normal,Normal
252,Normal,Normal,Normal,Normal,Normal,Normal
253,Normal,Normal,Normal,Normal,Normal,Normal
254,Normal,Normal,Normal,Normal,Normal,Normal
255,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
256,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
257,Normal,Normal,Normal,Normal,Normal,Normal
258,Normal,Normal,Normal,Fraud,Fraud,Fraud
259,Normal,Normal,Normal,Fraud,Normal,Normal
260,Fraud,Normal,Fraud,Fraud,Fraud,Normal
261,Normal,Normal,Normal,Normal,Normal,Normal
262,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
263,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
264,Normal,Normal,Normal,Fraud,Fraud,Normal
265,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
266,Normal,Normal,Normal,Normal,Normal,Normal
267,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
268,Normal,Normal,Normal,Fraud,Normal,Normal
269,Normal,Normal,Normal,Normal,Normal,Normal
270,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
271,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
272,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
273,Normal,Normal,Normal,Normal,Fraud,Fraud
274,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
275,Normal,Normal,Normal,Fraud,Fraud,Fraud
276,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
277,Normal,Normal,Normal,Fraud,Fraud,Fraud
278,Normal,Normal,Normal,Fraud,Fraud,Normal
279,Normal,Normal,Normal,Fraud,Fraud,Fraud
280,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
281,Normal,Normal,Normal,Normal,Normal,Normal
282,Normal,Normal,Normal,Normal,Normal,Normal
283,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
284,Normal,Normal,Normal,Normal,Normal,Normal
285,Normal,Normal,Normal,Normal,Normal,Normal
286,Fraud,Normal,Fraud,Fraud,Fraud,Normal
287,Normal,Normal,Normal,Fraud,Normal,Fraud
288,Normal,Normal,Normal,Normal,Normal,Normal
289,Normal,Normal,Normal,Normal,Normal,Normal
290,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
291,Normal,Normal,Normal,Normal,Normal,Normal
292,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
293,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
294,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
295,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
296,Normal,Normal,Normal,Fraud,Normal,Fraud
297,Normal,Normal,Normal,Normal,Normal,Normal
298,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
299,Normal,Normal,Normal,Normal,Normal,Normal
300,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
301,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
302,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
303,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
304,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
305,Fraud,Normal,Fraud,Fraud,Normal,Normal
306,Normal,Normal,Normal,Normal,Normal,Normal
307,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
308,Normal,Normal,Normal,Fraud,Fraud,Normal
309,Normal,Normal,Normal,Normal,Normal,Normal
310,Fraud,Normal,Fraud,Fraud,Fraud,Normal
311,Normal,Normal,Normal,Fraud,Normal,Fraud
312,Normal,Normal,Normal,Normal,Normal,Normal
313,Normal,Normal,Normal,Normal,Normal,Normal
314,Normal,Normal,Normal,Normal,Fraud,Normal
315,Normal,Normal,Normal,Normal,Normal,Normal
316,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
317,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
318,Normal,Normal,Normal,Fraud,Normal,Normal
319,Normal,Normal,Normal,Normal,Normal,Normal
320,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
321,Normal,Fraud,Normal,Fraud,Normal,Normal
322,Normal,Normal,Normal,Normal,Normal,Normal
323,Normal,Normal,Normal,Normal,Normal,Normal
324,Normal,Normal,Normal,Normal,Normal,Normal
325,Normal,Normal,Normal,Normal,Normal,Normal
326,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
327,Normal,Normal,Normal,Normal,Normal,Normal
328,Normal,Normal,Normal,Normal,Normal,Normal
329,Normal,Normal,Normal,Normal,Normal,Normal
330,Fraud,Normal,Fraud,Fraud,Normal,Fraud
331,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
332,Normal,Normal,Normal,Normal,Normal,Normal
333,Normal,Normal,Normal,Normal,Normal,Normal
334,Fraud,Normal,Fraud,Fraud,Fraud,Normal
335,Normal,Normal,Normal,Normal,Normal,Normal
336,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
337,Normal,Normal,Normal,Fraud,Fraud,Normal
338,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
339,Fraud,Fraud,Fraud,Fraud,Normal,Normal
340,Fraud,Normal,Fraud,Fraud,Normal,Fraud
341,Normal,Normal,Normal,Normal,Normal,Normal
342,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
343,Normal,Normal,Normal,Normal,Fraud,Normal
344,Normal,Normal,Normal,Normal,Normal,Normal
345,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
346,Normal,Normal,Normal,Fraud,Normal,Fraud
347,Normal,Normal,Normal,Normal,Normal,Normal
348,Fraud,Normal,Fraud,Fraud,Fraud,Normal
349,Normal,Normal,Normal,Normal,Normal,Normal
350,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
351,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
352,Fraud,Normal,Fraud,Fraud,Fraud,Normal
353,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
354,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
355,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
356,Normal,Normal,Normal,Normal,Normal,Normal
357,Normal,Normal,Normal,Normal,Normal,Normal
358,Fraud,Normal,Fraud,Fraud,Fraud,Normal
359,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
360,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
361,Fraud,Normal,Fraud,Fraud,Fraud,Normal
362,Normal,Normal,Normal,Normal,Normal,Normal
363,Normal,Normal,Normal,Normal,Normal,Normal
364,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
365,Normal,Normal,Normal,Normal,Normal,Normal
366,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
367,Normal,Normal,Normal,Fraud,Normal,Normal
368,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
369,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
370,Normal,Normal,Normal,Normal,Normal,Normal
371,Normal,Normal,Normal,Normal,Normal,Normal
372,Normal,Normal,Normal,Fraud,Normal,Normal
373,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
374,Normal,Normal,Normal,Normal,Fraud,Normal
375,Normal,Normal,Normal,Normal,Normal,Normal
376,Normal,Normal,Normal,Fraud,Normal,Normal
377,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
378,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
379,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
380,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
381,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
382,Normal,Normal,Normal,Normal,Normal,Normal
383,Normal,Normal,Normal,Normal,Fraud,Normal
384,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
385,Normal,Normal,Normal,Normal,Normal,Fraud
386,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
387,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
388,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
389,Normal,Normal,Normal,Normal,Normal,Normal
390,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
391,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
392,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
393,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
394,Normal,Normal,Normal,Normal,Normal,Normal
395,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
396,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
397,Normal,Normal,Normal,Normal,Normal,Normal
398,Normal,Normal,Normal,Normal,Normal,Normal
399,Normal,Normal,Normal,Normal,Normal,Normal
400,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
401,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
402,Normal,Normal,Normal,Normal,Normal,Normal
403,Normal,Normal,Normal,Normal,Normal,Normal
404,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
405,Normal,Normal,Normal,Normal,Normal,Normal
406,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
407,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
408,Normal,Normal,Normal,Normal,Normal,Normal
409,Normal,Normal,Normal,Normal,Normal,Normal
410,Normal,Normal,Normal,Normal,Normal,Normal
411,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
412,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
413,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
414,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
415,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
416,Normal,Normal,Normal,Normal,Normal,Normal
417,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
418,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
419,Normal,Normal,Normal,Normal,Normal,Normal
420,Normal,Normal,Normal,Normal,Fraud,Normal
421,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
422,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
423,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
424,Normal,Normal,Normal,Normal,Normal,Normal
425,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
426,Normal,Normal,Normal,Normal,Normal,Normal
427,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
428,Normal,Normal,Normal,Normal,Normal,Normal
429,Normal,Normal,Normal,Fraud,Normal,Normal
430,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
431,Normal,Normal,Normal,Normal,Fraud,Normal
432,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
433,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
434,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
435,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
436,Normal,Normal,Normal,Normal,Normal,Normal
437,Normal,Normal,Normal,Normal,Normal,Normal
438,Normal,Normal,Normal,Normal,Normal,Normal
439,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
440,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
441,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
442,Normal,Normal,Normal,Normal,Normal,Normal
443,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
444,Normal,Normal,Normal,Normal,Normal,Normal
445,Normal,Normal,Normal,Fraud,Normal,Normal
446,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
447,Fraud,Fraud,Fraud,Fraud,Normal,Normal
448,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
449,Normal,Normal,Normal,Normal,Normal,Normal
450,Normal,Normal,Normal,Normal,Normal,Normal
451,Fraud,Fraud,Fraud,Fraud,Normal,Fraud
452,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
453,Normal,Normal,Normal,Normal,Fraud,Normal
454,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
455,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
456,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
457,Normal,Normal,Normal,Normal,Normal,Normal
458,Normal,Normal,Normal,Normal,Normal,Normal
459,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
460,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
461,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
462,Normal,Normal,Normal,Fraud,Normal,Normal
463,Fraud,Normal,Fraud,Fraud,Normal,Normal
464,Normal,Normal,Normal,Normal,Normal,Normal
465,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
466,Normal,Normal,Normal,Normal,Normal,Normal
467,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
468,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
469,Normal,Normal,Normal,Fraud,Normal,Normal
470,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
471,Normal,Normal,Normal,Normal,Normal,Normal
472,Fraud,Fraud,Fraud,Fraud,Fraud,Normal
473,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
474,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
475,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
476,Normal,Normal,Normal,Fraud,Normal,Normal
477,Normal,Normal,Normal,Fraud,Fraud,Fraud
478,Fraud,Fraud,Fraud,Fraud,Fraud,Fraud
479,Fraud,Normal,Fraud,Fraud,Fraud,Fraud
480,Normal,Normal,Normal,Normal,Normal,Normal
481,Normal,Normal,Normal,Normal,Normal,Normal
