idx,true,length,bow,singh,webrag
457,Fraud,Fraud,Fraud,Fraud,Fraud
458,Fraud,Fraud,Fraud,Fraud,Fraud
459,Normal,Normal,Normal,Normal,Normal
460,Normal,Normal,Normal,Normal,Normal
461,Fraud,Normal,Fraud,Fraud,Fraud
462,Normal,Normal,Normal,Normal,Normal
463,Normal,Normal,Normal,Normal,Normal
464,Normal,Normal,Normal,Normal,Normal
465,Fraud,Normal,Fraud,Normal,Fraud
466,Fraud,Normal,Fraud,Fraud,Fraud
467,Normal,Normal,Normal,Normal,Normal
468,Fraud,Normal,Fraud,Fraud,Fraud
469,Normal,Normal,Normal,Normal,Normal
470,Normal,Normal,Normal,Normal,Normal
471,Normal,Normal,Normal,Fraud,Normal
472,Normal,Normal,Normal,Normal,Normal
473,Fraud,Fraud,Fraud,Normal,Normal
474,Normal,Normal,Normal,Normal,Normal
475,Normal,Normal,Normal,Normal,Normal
476,Fraud,Normal,Fraud,Fraud,Fraud
477,Fraud,Normal,Fraud,Fraud,Fraud
478,Fraud,Normal,Fraud,Fraud,Fraud
479,Normal,Normal,Normal,Normal,Normal
480,Fraud,Normal,Fraud,Fraud,Fraud
481,Normal,Normal,Normal,Normal,Normal
482,Fraud,Normal,Fraud,Fraud,Fraud
483,Normal,Normal,Normal,Normal,Normal
484,Normal,Normal,Normal,Fraud,Normal
485,Normal,Normal,Normal,Normal,Normal
486,Fraud,Fraud,Fraud,Fraud,Fraud
487,Normal,Normal,Normal,Normal,Normal
488,Fraud,Normal,Fraud,Fraud,Fraud
489,Normal,Normal,Normal,Fraud,Normal
490,Normal,Normal,Normal,Normal,Normal
491,Normal,Normal,Normal,Normal,Normal
492,Normal,Normal,Normal,Normal,Normal
493,Fraud,Normal,Fraud,Fraud,Fraud
494,Fraud,Normal,Fraud,Fraud,Fraud
495,Normal,Normal,Normal,Normal,Normal
496,Normal,Normal,Normal,Normal,Fraud
497,Normal,Normal,Normal,Normal,Normal
498,Fraud,Fraud,Fraud,Normal,Fraud
499,Normal,Normal,Normal,Normal,Normal
500,Normal,Normal,Normal,Normal,Normal
501,Normal,Normal,Normal,Normal,Normal
502,Normal,Normal,Normal,Normal,Normal
503,Fraud,Normal,Fraud,Fraud,Fraud
504,Normal,Normal,Normal,Normal,Normal
505,Fraud,Normal,Fraud,Fraud,Fraud
506,Fraud,Normal,Fraud,Fraud,Fraud
507,Normal,Normal,Normal,Normal,Normal
508,Normal,Normal,Normal,Fraud,Normal
509,Normal,Normal,Normal,Normal,Normal
510,Normal,Normal,Normal,Normal,Normal
511,Fraud,Fraud,Fraud,Fraud,Fraud
512,Normal,Normal,Normal,Normal,Normal
513,Fraud,Fraud,Fraud,Fraud,Fraud
514,Fraud,Fraud,Fraud,Fraud,Fraud
515,Fraud,Fraud,Fraud,Fraud,Fraud
516,Normal,Normal,Normal,Fraud,Normal
517,Normal,Normal,Normal,Normal,Normal
518,Normal,Normal,Normal,Normal,Normal
519,Fraud,Normal,Fraud,Fraud,Fraud
520,Normal,Normal,Normal,Normal,Normal
521,Normal,Normal,Normal,Normal,Normal
522,Fraud,Normal,Fraud,Fraud,Fraud
523,Fraud,Normal,Fraud,Normal,Normal
524,Normal,Normal,Normal,Normal,Normal
525,Normal,Normal,Normal,Normal,Normal
526,Fraud,Normal,Fraud,Normal,Fraud
527,Normal,Normal,Normal,Normal,Normal
528,Fraud,Fraud,Fraud,Fraud,Fraud
529,Fraud,Fraud,Fraud,Normal,Fraud
530,Normal,Normal,Normal,Normal,Normal
531,Fraud,Fraud,Fraud,Normal,Fraud
532,Fraud,Fraud,Fraud,Fraud,Fraud
533,Normal,Normal,Normal,Normal,Normal
534,Normal,Normal,Normal,Fraud,Normal
535,Fraud,Fraud,Fraud,Fraud,Fraud
536,Normal,Normal,Normal,Normal,Normal
537,Fraud,Fraud,Fraud,Fraud,Fraud
538,Normal,Normal,Normal,Normal,Normal
539,Fraud,Normal,Fraud,Fraud,Fraud
540,Fraud,Fraud,Fraud,Fraud,Fraud
541,Fraud,Normal,Fraud,Fraud,Fraud
542,Normal,Normal,Normal,Normal,Normal
543,Fraud,Fraud,Fraud,Fraud,Fraud
544,Fraud,Normal,Fraud,Fraud,Fraud
545,Fraud,Fraud,Fraud,Fraud,Fraud
546,Normal,Normal,Normal,Normal,Normal
547,Fraud,Normal,Fraud,Fraud,Fraud
548,Fraud,Fraud,Fraud,Fraud,Fraud
549,Fraud,Fraud,Fraud,Fraud,Fraud
550,Normal,Normal,Normal,Normal,Normal
551,Normal,Normal,Normal,Normal,Normal
552,Normal,Normal,Normal,Normal,Normal
553,Normal,Normal,Normal,Normal,Normal
554,Normal,Normal,Normal,Normal,Normal
555,Fraud,Normal,Fraud,Fraud,Fraud
556,Fraud,Normal,Fraud,Normal,Normal
557,Normal,Normal,Normal,Normal,Normal
558,Normal,Normal,Normal,Normal,Normal
559,Normal,Normal,Normal,Normal,Fraud
560,Normal,Normal,Normal,Normal,Normal
561,Normal,Normal,Normal,Normal,Fraud
562,Fraud,Normal,Fraud,Fraud,Fraud
563,Normal,Normal,Normal,Normal,Normal
564,Normal,Normal,Normal,Fraud,Normal
565,Fraud,Fraud,Fraud,Fraud,Fraud
566,Fraud,Normal,Fraud,Fraud,Fraud
567,Normal,Normal,Normal,Normal,Normal
568,Fraud,Fraud,Fraud,Fraud,Fraud
569,Normal,Normal,Normal,Fraud,Normal
570,Fraud,Normal,Fraud,Fraud,Fraud
