pair_id,label,source,original_id,conversation_length_words,length_difference_words,text
10,nonscam,technical_support_json,technical_support_10,101,1,"Hello, I need urgent help — webcam not working. Good day! I'm here to help. Let's start — when did you first notice webcam not working? About a week ago. I thought it would fix itself but it didn't. Got it. Have you tried restarting the device completely? Done that already. No change. Alright. Let's try running the built-in diagnostic tool. Settings show version 3.1.2. Is that the latest? That version is outdated. Let me send you the update link. Fixed! I can't believe it was that simple. Perfect. The problem is resolved. Have a great day! Nothing else, thanks again!"
10,scam,youtube_scambait,59,100,1,hello i'm calling you from billion medicine pharmacy how are you good can i uh place an order yes ma'am like what medication you take ma'am um i need the morning after pill sorry the morning after pill okay what is the name uh i think that's the name the morning after pill or the i pill you need i pill the morning after pill because i had sex last night i had sex last night okay and i don't want to have pregnant i don't want to get uh how many can i get yeah how much you want
11,nonscam,technical_support_json,technical_support_11,112,6,"Hi there. I've been dealing with webcam not working for a while now. Hello! I'm sorry to hear that. Let's fix this together. When did webcam not working start? Since this morning. It was fine yesterday. I see. As a first step — have you tried unplugging and reconnecting the device? Yes, still happening after the restart. Let's go further. Can you check for any pending system updates? I ran the diagnostic and it says 'driver error detected'. That version is outdated. Let me send you the update link. The driver reinstalled fine. Issue is gone! Wonderful! Don't hesitate to contact us again if needed. No, that's everything. Thank you so much!"
11,scam,youtube_scambait,48,118,6,welcome to technical support avanquest technical support my name's how can i help you hi my name is um i've downloaded one safe pc cleaner and it's identified a lot of files that i need to remove but i i can't i can't remove them without um i don't want like a license number or something yes and sir that's the reason why you need purchase the license for the onesafe pc cleaner to use all the features in such a case in order to get the detail about this license could you please tell me if you have the order id for purchase no i i've just downloaded it i haven't ordered it you just downloaded it
12,nonscam,technical_support_json,technical_support_12,114,0,"Hello, I need urgent help — keyboard keys not responding. Hello! I'm sorry to hear that. Let's fix this together. When did keyboard keys not responding start? Since this morning. It was fine yesterday. I see. As a first step — have you tried unplugging and reconnecting the device? Multiple restarts — still the same issue. Okay. Please navigate to Settings and check the device drivers. My device model is HP Pavilion 15. Hope that helps. That driver error is the culprit. I'll guide you to reinstall it now. The driver reinstalled fine. Issue is gone! Excellent! Glad we got that sorted. Is there anything else I can help with? Nothing else, thanks again!"
12,scam,youtube_scambait,6,114,0,hello this is a final warning from inland revenue with hmrc regarding a criminal prosecution on your name urgently call us back on three three zero zero zero one zero two and for your arrest and your warrant number is wc wc4589 as there is a legal case going to be filed against your name now before the case is sent for execution and you receive the legal course of notification you can call the hmrc on 02081 449696 i need you or your retained solicitor of record to call us back the issue at hand is extremely time sensitive this is officer from hm revenue and customs the hotline to my division is
13,nonscam,technical_support_json,technical_support_13,116,32,"Hi, my laptop battery not charging and I have no idea what to do. Hello! I'm sorry to hear that. Let's fix this together. When did laptop battery not charging start? This started after the last system update. I see. As a first step — have you tried unplugging and reconnecting the device? I tried that, didn't work at all. Let's go further. Can you check for any pending system updates? My device model is HP Pavilion 15. Hope that helps. Yes, please install the update and restart once complete. Update installed and restarted. It seems to be working now! Wonderful! Don't hesitate to contact us again if needed. No, that's everything. Thank you so much!"
13,scam,youtube_scambait,156,148,32,hello hello hi i received this email about northern lifelock subscription that is expiring today it's asking me for 249 looks like or something like that i'm i never remember having such a subscription what is going on here who's taking money from my account uh my company sir because uh uh you have our company security software in your computer and this is auto renewal services that's the reason my company charge uses and sending you this email to inform you like you want to continue this services or cancel it because if you continue the services so my company charge you every month but i don't remember having having this subscription so who made this subscription on my behalf i don't know sir because uh you're and somebody just using our company website and register online form so i don't know exactly who is person activated
14,nonscam,technical_support_json,technical_support_14,115,2,"Hi there. I've been dealing with printer not detected for a while now. Good day! I'm here to help. Let's start — when did you first notice printer not detected? About a week ago. I thought it would fix itself but it didn't. Understood. First, let's try a full shutdown and restart. Did that help? Yes, still happening after the restart. Alright. Let's try running the built-in diagnostic tool. My device model is HP Pavilion 15. Hope that helps. Perfect. I'll push a driver update remotely — give me a moment. I followed the steps and everything is back to normal. Wonderful! Don't hesitate to contact us again if needed. That's all. Thanks a lot!"
14,scam,youtube_scambait,69,117,2,i'm the senior technician here in microsoft windows support ma'am i don't do anything over the phone ma'am if you don't do it anything over the phone why did you call on this number then why did you call on this number because it's telling me to call on the number so i wanted to see what it says ma'am this is a microsoft windows support i will go ahead and work on it yeah okay okay well i'll call you back i'll do some research and call you back thank you ma'am you will gonna face the consequences then i'm telling you i will go ahead and work on it yeah okay and call you back
15,nonscam,technical_support_json,technical_support_15,114,4,"I need support. Computer shuts down randomly and it's causing me a lot of stress. Good day! I'm here to help. Let's start — when did you first notice computer shuts down randomly? It started two days ago, completely out of nowhere. Understood. First, let's try a full shutdown and restart. Did that help? I tried that, didn't work at all. Let's go further. Can you check for any pending system updates? I ran the diagnostic and it says 'driver error detected'. Yes, please install the update and restart once complete. Fixed! I can't believe it was that simple. Great news! Feel free to reach out if the issue returns. Nothing else, thanks again!"
15,scam,youtube_scambait,5,118,4,the criminal case registered under your name for tax fraud and tax division and there is also a warrant out for your arrest now there's a warrant out for my arrest this is a recordable line sir i have to play this recording in the courthouse so we don't need any interruption in this call sorry this is going to get played in court yeah the recording is going to be playing the couch house we found autumn's calculation of 1693 pounds outstanding under your name so at this point of time you have only two options your first option is to go to court and fight the case in case if you found guilty you have to
16,nonscam,technical_support_json,technical_support_16,111,21,"Hi, my wifi keeps disconnecting and I have no idea what to do. Hello! I'm sorry to hear that. Let's fix this together. When did wifi keeps disconnecting start? It began yesterday morning. I haven't changed anything. Got it. Have you tried restarting the device completely? Yes, I restarted multiple times. Same problem. Let me check from my end. Can you provide your device model? There's a pending update. Should I install it now? Perfect. I'll push a driver update remotely — give me a moment. I followed the steps and everything is back to normal. Wonderful! Don't hesitate to contact us again if needed. All good! Really appreciate your help."
16,scam,youtube_scambait,81,132,21,thank you for calling support how may help you hi um i have a strange message on my screen it says access to my device has been blocked for security reasons and can you just read it out for me what exactly see on your computer screen right now well it says windows defender security warning access to this scammer this or uh computer is blocked for security reasons block for your computer sorry it says your computer has been reported to be infected with a trojan spyware says there's a scanner it's a scanner in the upper left hand corner i don't know what it's scanning all right no problem can you just help me out your name for the customer security purpose yeah my name is my last name is
17,nonscam,technical_support_json,technical_support_17,107,1,"I need support. Microphone not detected and it's causing me a lot of stress. Good day! I'm here to help. Let's start — when did you first notice microphone not detected? It began yesterday morning. I haven't changed anything. Thank you. Can you try clearing the cache and restarting the application? Done that already. No change. Okay. Please navigate to Settings and check the device drivers. There's a pending update. Should I install it now? Yes, please install the update and restart once complete. It's working perfectly now. Thank you! Perfect. The problem is resolved. Have a great day! Nope, I'm good now. Great support, thank you!"
17,scam,youtube_scambait,107,106,1,thank you for calling support this is how can i help here hi it's i said i would call you when i got home okay okay so just give me one minute please may i have your name please uh originally spoke with oh yes i do remember that yes there's a 780 macbook i wasn't ordered on my amazon yes yes yes thank you so much for calling back so uh could you please uh get your computer again where are you located we're in california wow i love california oh you do i used to live in illinois i'm in salt lake city utah
18,nonscam,technical_support_json,technical_support_18,105,1,"Hi there. I've been dealing with laptop battery not charging for a while now. Hello! I'm sorry to hear that. Let's fix this together. When did laptop battery not charging start? Since this morning. It was fine yesterday. Got it. Have you tried restarting the device completely? Yes, I restarted multiple times. Same problem. Alright. Let's try running the built-in diagnostic tool. I ran the diagnostic and it says 'driver error detected'. Yes, please install the update and restart once complete. The driver reinstalled fine. Issue is gone! Great news! Feel free to reach out if the issue returns. All good! Really appreciate your help."
18,scam,youtube_scambait,10,104,1,hello yes sir this is what yeah this is engineer again can you hear me sir yes uh from microsoft yes is your computer is on yes it is now what you need to do you need to look at your computer keyboard right yes on your keyboard extremely left bottom corner do you see the ctrl key the control key yes what is this noise coming from your side like it is windy or something hold on let me clear the line just hold the line all right now what do you believe you can hear me clearly uh yes i can now
19,nonscam,technical_support_json,technical_support_19,108,27,"Good morning. I'm really struggling because printer not detected. Hi! That sounds frustrating. Can you tell me more about when printer not detected began? This started after the last system update. Thank you. Can you try clearing the cache and restarting the application? I tried that, didn't work at all. Let's go further. Can you check for any pending system updates? I checked and the drivers seem outdated. Yes, please install the update and restart once complete. Update installed and restarted. It seems to be working now! Excellent! Glad we got that sorted. Is there anything else I can help with? No, that's everything. Thank you so much!"
19,scam,youtube_scambait,183,135,27,hi i need to speak to the norton department please yeah ma'am this is norton how may i help you sorry what is you name my name is okay do you work for norton yes norton antivirus support okay i got a call uh an email sorry i think from someone named about about my norton subscription being auto renewed okay can you tell me the auto id number or the invoice number um hello it's okay and what is the amount 368 okay ma'am just hold one moment and i will check in the system okay alright yeah i can see over there it's a norton subscription for your pc protection so uh as you told me you you order this subscription say that again it's hard to hear you yeah i just say
20,nonscam,technical_support_json,technical_support_20,106,0,"Good morning. I'm really struggling because printer not detected. Good day! I'm here to help. Let's start — when did you first notice printer not detected? It happened after I restarted my computer. Understood. First, let's try a full shutdown and restart. Did that help? Done that already. No change. Let's go further. Can you check for any pending system updates? My device model is HP Pavilion 15. Hope that helps. That version is outdated. Let me send you the update link. Update installed and restarted. It seems to be working now! Wonderful! Don't hesitate to contact us again if needed. That's all. Thanks a lot!"
20,scam,youtube_scambait,76,106,0,thank you for reaching tech support this is how may i help you today hi um i have a message on my screen that says my access to the computer's blockfor security reasons it's all right you don't need to worry about that ma'am well it says my facebook login and my banking has been data is at risk so i am worried it seems like there is a bridge on your network which means it's an attempt of hacking with a second place when you click on an unknown website all right they can just it wasn't unknown it was on facebook it was on
21,nonscam,technical_support_json,technical_support_21,111,24,"Good morning. I'm really struggling because software won't install. Good day! I'm here to help. Let's start — when did you first notice software won't install? It began yesterday morning. I haven't changed anything. Understood. First, let's try a full shutdown and restart. Did that help? Yes, still happening after the restart. Okay. Please navigate to Settings and check the device drivers. There's a pending update. Should I install it now? Yes, please install the update and restart once complete. I followed the steps and everything is back to normal. Excellent! Glad we got that sorted. Is there anything else I can help with? No, that's everything. Thank you so much!"
21,scam,youtube_scambait,153,135,24,calling this is how can i help you yeah i'm going about my refund i said you're closing down or something okay you okay huh you want you want to cancel right yes okay are you in front of your computer side is your computer on yes okay so tell me what do you see on the computer my computer screen okay look at the very bottom left hand corner at the very bottom left corner which icon do you see on my computer screen i see a windows start key yes yes yes right beside that right beside that right beside the windows start key do you see type here to search type here to search yes of course uh huh type here to search in type here to search you have to type
22,nonscam,technical_support_json,technical_support_22,107,0,"I need support. Keyboard keys not responding and it's causing me a lot of stress. Hi! That sounds frustrating. Can you tell me more about when keyboard keys not responding began? It started two days ago, completely out of nowhere. Got it. Have you tried restarting the device completely? I tried that, didn't work at all. Let's go further. Can you check for any pending system updates? Settings show version 3.1.2. Is that the latest? Yes, please install the update and restart once complete. The driver reinstalled fine. Issue is gone! Wonderful! Don't hesitate to contact us again if needed. No, that's everything. Thank you so much!"
22,scam,youtube_scambait,55,107,0,thank you for calling apple my name is how can i help you uh yes i um had some kind of message that i was getting charged but i don't even use apple what kind of message you have in your phone could you please try to explain us i am using my roommate phone now so i can't read it to you right now i'm sorry my phones ma'am if you cannot read it me then how can i help you with that well don't you work for apple ma'am i am from apple but without having any confirmation from your end how can i check
23,nonscam,technical_support_json,technical_support_23,121,35,I need support. External hard drive not recognized and it's causing me a lot of stress. Hello! I'm sorry to hear that. Let's fix this together. When did external hard drive not recognized start? About a week ago. I thought it would fix itself but it didn't. Got it. Have you tried restarting the device completely? Done that already. No change. Let me check from my end. Can you provide your device model? I ran the diagnostic and it says 'driver error detected'. Perfect. I'll push a driver update remotely — give me a moment. I followed the steps and everything is back to normal. Great news! Feel free to reach out if the issue returns. That's all. Thanks a lot!
23,scam,youtube_scambait,115,156,35,thank you for calling this is hi i'm responding to a text message that i got about a auto renewal for norton lifelock i haven't used norton in many years so i guess i'm subscribed still uh it seems so sir because uh they know that's the only case when you receive those messages okay well so did you you try to subscribe to our northern lifelock security no i mean that's what's confusing me i i i never have and i'm getting charged 599 i can't think of how the charge would have come about i mean i have windows 10 and it comes with its own antivirus okay that's actually an inbuilt security itself for windows you're telling me that you didn't make the charge and you don't use norton also uh so have you ever shared the access to your personal information to your email address and your billing informations with someone else
24,nonscam,technical_support_json,technical_support_24,112,7,"Hi there. I've been dealing with printer not detected for a while now. Thanks for reaching out. I'll help you sort out printer not detected. How long has this been happening? It happened after I restarted my computer. I see. As a first step — have you tried unplugging and reconnecting the device? Yes, I restarted multiple times. Same problem. Let's go further. Can you check for any pending system updates? I checked and the drivers seem outdated. Yes, please install the update and restart once complete. Update installed and restarted. It seems to be working now! Great news! Feel free to reach out if the issue returns. Nothing else, thanks again!"
24,scam,youtube_scambait,31,119,7,hello thank you for calling support whom i helped you hello yes i've got a problem with my uh email my gmail and i'm wondering if you can help with it definitely i can help you with that problem what's the exact problem you're facing with your gmail so i've got an ipad here that i already have the in the ipad if you can help that's definitely i can help you so here i would like to know do you have a computer as well apart from this ipad i have a laptop as well yes but i i don't need the mail on it and uh you you don't use your emails on your laptop no no
25,nonscam,technical_support_json,technical_support_25,110,0,"Hey, I'm having a technical issue: printer not detected. Hello! I'm sorry to hear that. Let's fix this together. When did printer not detected start? It began yesterday morning. I haven't changed anything. I see. As a first step — have you tried unplugging and reconnecting the device? Yes, still happening after the restart. Okay. Please navigate to Settings and check the device drivers. I checked and the drivers seem outdated. That driver error is the culprit. I'll guide you to reinstall it now. Fixed! I can't believe it was that simple. Excellent! Glad we got that sorted. Is there anything else I can help with? Nothing else, thanks again!"
25,scam,youtube_scambait,92,110,0,thank you for calling customer support how can i help you yes i got an email and text earlier today saying a purchase of 1160 have been made using your debit card in case you have not done this transaction please call this number so as you can see there is an order purchase of bitcoins i can definitely tell you it wasn't my order i wouldn't and touched bitcoin with a 10 foot pole um but as you can see the authorization is coming from your side did you ever share your email and password with anyone else no i have no need to i have no desire to
26,nonscam,technical_support_json,technical_support_26,115,7,"Hi there. I've been dealing with computer shuts down randomly for a while now. Hello! I'm sorry to hear that. Let's fix this together. When did computer shuts down randomly start? It began yesterday morning. I haven't changed anything. I see. As a first step — have you tried unplugging and reconnecting the device? Yes, I restarted multiple times. Same problem. Let's go further. Can you check for any pending system updates? Settings show version 3.1.2. Is that the latest? Perfect. I'll push a driver update remotely — give me a moment. I followed the steps and everything is back to normal. Perfect. The problem is resolved. Have a great day! Nothing else, thanks again!"
26,scam,youtube_scambait,70,122,7,thanks for calling support my name is how can i help uh yeah this rude guy just hung up on me i got an email about a purchase i didn't make i tried to just call on this rude guy hung up on me it's all right miss i'm online you can share with me thank you um so i got a email that says that i have a pre authorization on my card for an oil pump for 954 45 and i definitely did not order that i understand miss don't be worried we're gonna try to cancel that charge you got it okay can you please let me know when you get this charge i got the email last night
27,nonscam,technical_support_json,technical_support_27,104,5,"Hey, I'm having a technical issue: microphone not detected. Hi! That sounds frustrating. Can you tell me more about when microphone not detected began? Since this morning. It was fine yesterday. I see. As a first step — have you tried unplugging and reconnecting the device? Multiple restarts — still the same issue. Alright. Let's try running the built-in diagnostic tool. I ran the diagnostic and it says 'driver error detected'. Yes, please install the update and restart once complete. Update installed and restarted. It seems to be working now! Wonderful! Don't hesitate to contact us again if needed. That's all. Thanks a lot!"
27,scam,youtube_scambait,44,99,5,thank you for calling support this is mac how may i help you yes my computer's beeping it says someone signed on to my computer and it's it's a suspicious activity and i could get an infection from it i am really sorry to hear that ma'am can i ask you what exactly you was doing when you got that kind of a message or an alert ma'am all i did was put in american heart association all i did was put in typed in americanheartassociation org to print my i'm a nurse and i took a cpr class
28,nonscam,technical_support_json,technical_support_28,109,0,"Hey, I'm having a technical issue: wifi keeps disconnecting. Hi! That sounds frustrating. Can you tell me more about when wifi keeps disconnecting began? Since this morning. It was fine yesterday. I see. As a first step — have you tried unplugging and reconnecting the device? I tried that, didn't work at all. Alright. Let's try running the built-in diagnostic tool. Settings show version 3.1.2. Is that the latest? That version is outdated. Let me send you the update link. Fixed! I can't believe it was that simple. Excellent! Glad we got that sorted. Is there anything else I can help with? No, that's everything. Thank you so much!"
28,scam,youtube_scambait,57,109,0,thanks for calling geek squad this is how may i help you hello um i got some kind of message a few days ago about a charge from geek squad or best buy or something like that can you help me a few days ago yeah or today i don't know i guess i was earlier today i've been drunk for like three days so i don't really know what what day it is what you need to do you just need to be in front of your computer so that i can connect you with the cancellation department so are you in front of your computer right now
29,nonscam,technical_support_json,technical_support_29,111,20,"Hi there. I've been dealing with computer shuts down randomly for a while now. Hi! That sounds frustrating. Can you tell me more about when computer shuts down randomly began? About a week ago. I thought it would fix itself but it didn't. Got it. Have you tried restarting the device completely? Yes, still happening after the restart. Okay. Please navigate to Settings and check the device drivers. I checked and the drivers seem outdated. Perfect. I'll push a driver update remotely — give me a moment. Update installed and restarted. It seems to be working now! Perfect. The problem is resolved. Have a great day! That's all. Thanks a lot!"
29,scam,youtube_scambait,139,131,20,yeah i had a message calls number about my amazon account yes sir did you order iphone 11 pro from your amazon account and this is a verification call so do you confirm this order or no i haven't ordered anything what are you talking about i'm talking about your amazon so you haven't done it you did not order iphone 11 pro yeah that's what i'm trying to tell you is i don't know what you're talking about tell me tell me what's going on as i told you did not order iphone 11 pro from your amazon account it means this is unauthorized on that correct step yeah i didn't authorize anything i didn't order anything okay so can you just go ahead and turn on your computer first
30,nonscam,technical_support_json,technical_support_30,108,11,"Hey, I'm having a technical issue: computer shuts down randomly. Hi! That sounds frustrating. Can you tell me more about when computer shuts down randomly began? Since this morning. It was fine yesterday. Understood. First, let's try a full shutdown and restart. Did that help? Yes, I restarted multiple times. Same problem. Let me check from my end. Can you provide your device model? Settings show version 3.1.2. Is that the latest? That version is outdated. Let me send you the update link. Fixed! I can't believe it was that simple. Great news! Feel free to reach out if the issue returns. All good! Really appreciate your help."
30,scam,youtube_scambait,54,97,11,yeah thanks for calling amazon refund department this is how are you doing today hi i had a voicemail saying i was going to get charged for something can you help me with that alright so as i can see there is some fraud activities are going into your amazon account so can you tell me like are you in front of your computer or laptop right now uh yes sir i'm at my computer alright ma'am so just use that computer i will assist you over the phone how we are going to cancel the order
31,nonscam,technical_support_json,technical_support_31,113,12,"Hello, I need urgent help — Bluetooth not pairing. Good day! I'm here to help. Let's start — when did you first notice Bluetooth not pairing? It started two days ago, completely out of nowhere. Understood. First, let's try a full shutdown and restart. Did that help? Yes, still happening after the restart. Alright. Let's try running the built-in diagnostic tool. My device model is HP Pavilion 15. Hope that helps. That driver error is the culprit. I'll guide you to reinstall it now. The driver reinstalled fine. Issue is gone! Excellent! Glad we got that sorted. Is there anything else I can help with? Nope, I'm good now. Great support, thank you!"
31,scam,youtube_scambait,94,125,12,yes um i got an email and had an invoice attached to it it's telling me that i have something on order a dell inspiron laptop and it was 598 and i'm not quite sure i'm understanding why i'm getting this do you do not have an amazon account i have an amazon account so obviously maybe some issue happen while you receive this email can i have your first and last name ma'am so that i can check the details for you yes my first name is last name is i'll just go ahead and check that that why you received this email if you didn't use this okay hold the line for a minute i'll be back don't mind my silence okay t
32,nonscam,technical_support_json,technical_support_32,115,31,"Good morning. I'm really struggling because fan making loud noise. Hi! That sounds frustrating. Can you tell me more about when fan making loud noise began? It began yesterday morning. I haven't changed anything. Thank you. Can you try clearing the cache and restarting the application? Yes, still happening after the restart. Let me check from my end. Can you provide your device model? My device model is HP Pavilion 15. Hope that helps. Perfect. I'll push a driver update remotely — give me a moment. Update installed and restarted. It seems to be working now! Great news! Feel free to reach out if the issue returns. Nope, I'm good now. Great support, thank you!"
