pair_id,topic,id,label,source,text
p019,scheduled_technician_call,c019,nonscam,authored_counterpart,[Greetings] is this uh yeah [Title] this is calling about the support appointment you booked are you at home yes i am okay so can you get in front of your computer please yeah let me get over there okay [Title] so is this the same computer you described on the last call yes it is right so what i would like you to do is open the settings menu yourself and read out the version number at the bottom of the page
p016,refund_department_query,s_54,scam,youtube_asr,yeah thanks for calling [Company] refund department this is how are you doing today hi i had a voicemail saying i was going to get charged for something can you help me with that alright so as i can see there is some fraud activities are going into your [Company] account so can you tell me like are you in front of your computer or laptop right now uh yes [Title] i m at my computer alright [Title] so just use that computer i will assist you over the phone how we are going to cancel the order
p011,supervisor_callback,c011,nonscam,authored_counterpart,[Greetings] this is calling you from [Company] i am the senior supervisor how are you doing today oh i m fine thank you all right so i believe [Title] you spoke with one of our representatives about the charge on your account and asked for someone senior to call you back uh yes i did i was not happy with how it was left i have read the notes on the account and i can see the transaction was refunded but the confirmation was never sent out to you which is why you had nothing to go on uh that is right nobody told me anything so the refund of [Number] went back to your card on [Number] and it has already cleared i am sending the written confirmation today so you have it on record and i have credited the delivery charge as well i am sorry it took two calls to get this sorted
p017,unexpected_debit_query,s_9,scam,youtube_asr,welcome to tsb fraud prevention please hold one of our representitives will be with you as soon as they can hi there you re through to martin moore at the tsb bank customer service team could i ask you to confirm who i m through to yes my name is and how may i help you today [Title] not sure what s going on but i got a message saying that uh some money has been taken from my account or is it going to be taken from my account ok not a problem at all
p049,blocked_message_walkthrough,s_77,scam,youtube_asr,thank you for calling online support you re speaking to how may i help you today um hi um i have a strange message on my screen that says that my computer is blocked for security reasons all right miss if you don t mind can you read that complete message for me so that i can easily understand that uh yes okay i m over at the computer it literally says [Company] security warning access to this computer is blocked for security reasons and for the safety if computer has been reported to be infected with trojan spyware the following data is at risk email credentials banking passwords facebook and then on top of that there s a smaller window that says threat detected trojan spyware okay well i m really sorry for the
p041,appointment_followup,s_93,scam,youtube_asr,[Greetings] miss welcome to [Company] how can i help you today how can i help you today this is we re supposed to meet today you reached back home once again yes i m back home all right just turn on your device i m trying to connect you again all right okay how has your day been so far yeah it s like great but it s tyring it s tiring how s your day yeah i m full of energy and and great okay so it looks like the command that we were doing um the scan for the yeah okay uh yeah can you open up your browser [Title] it s open it says open yeah so still the scan is going on what you need to do is log into your bank and check out the transactions all right i don t see anything different i didn t
p025,purchase_query,c025,nonscam,authored_counterpart,thank you for calling [Company] my name is how may i help you hello how are you i m good thanks [Title] thanks for asking how are you doing today [Title] i m doing fine thanks alright so how can i help you [Title] um i got a message about a charge uh let me check the account for you one moment right so i can see a purchase on [Number] for an iphone 11 pro max at [Number] and the delivery address on it is in ohio uh i do not know anyone in ohio then that purchase is not yours the card used against it is not the one we hold on your account so nothing has been taken from you i am cancelling the order now and raising a dispute against the seller you will get the reference by email today
p042,security_centre_message,c042,nonscam,authored_counterpart,this is how can i help you hello i got a message on my screen it says [Company] system security center and that access to the device has been blocked for security reasons why am i seeing this uh let me ask you something first does that message fill the whole screen yes it does and i can t click anything else right and is there a web address showing at the top yes there is that tells us what it is a real system message doesn t sit inside a browser window so what you re looking at is a web page made to look like one uh so my computer isn t blocked no it isn t press the escape key first then move the mouse to the very top and the browser bar comes back close it from there
p014,account_date_correction,s_49,scam,youtube_asr,thank you for calling my phone support my name is how may i help you yes my name is i d like you to help me get my birthday corrected on my [Company] account i put in an error i put in the current date when i got the computer five years ago and i keep getting these things that say i need a family um family support in order to get into certain apps so you need to change your birthday date on which [Title] like on your email and on my [Company] account so for that you need to call [Company] we are my phone support oh this says this is the [Company] support number here it says on the online internet
p044,locked_computer,c044,nonscam,authored_counterpart,thank you for calling support you are talking to may i help you yes my computer has been locked and i need help i can help with that [Title] sorry for the inconvenience let me ask what exactly you re seeing uh it wants a password before it lets me in right so that s the account password on the machine rather than anything to do with security uh i ve forgotten it then the reset goes through the email linked to the account and there s a forgotten password link under the box on the login screen uh will i lose my files no the reset only changes the password and everything on the machine stays where it is if the email address on it is one you can t get into either bring the machine into the store with photo identification
p017,unexpected_debit_query,c017,nonscam,authored_counterpart,welcome to [Company] fraud prevention please hold one of our representatives will be with you as soon as they can hi there you re through to the [Company] bank customer service team could i ask you to confirm who i m through to yes my name is thank you and how can i help today i had a message saying money was going out of my account uh let me have a look could i take the last four digits of the account number yes it is [Number] thank you right so that is a direct debit that was set up in branch back in [Number] and it goes to the same company as last month uh oh yes of course that is mine then that is all it is i will clear the alert
p005,order_billing_query,s_34,scam,youtube_asr,[Greetings] this is from [Company] customer service we have seen a recent order number amz [Number] of iphone 11 pro on your account which is built on your card attached to your [Company] account the amount charged is [Number] we noticed some suspicious activity on your account so we have put in hold to the transaction please press one now and to report press two
p024,business_invoice_query,c024,nonscam,authored_counterpart,thank you for calling [Company] securities how may i help you um i m calling because we have a [Company] invoice for [Number] and it is being charged [Number] we only use our [Company] for emergencies so being charged that much does not look right uh let me check the account could i take the company name on the invoice yes it is thank you one moment right so the invoice was raised for five user seats because that is what the account was set up with in [Number] uh that was before we cut the team down understood so the amount is correct for five seats but not for what you are using now i can amend it to one seat and reissue the invoice at the lower figure the first one can be disregarded once the new one arrives
p030,order_dispatch_notice,c030,nonscam,authored_counterpart,dear customer an order for an iphone 6s 64 gigabytes has been placed on your [Company] account and dispatched today if you placed it yourself it will arrive within three working days if you did not the cancel option is in your orders page under recent activity
p032,missed_call_followup,c032,nonscam,authored_counterpart,[Greetings] i received a missed call from this number what is this regarding do you know uh let me check the number you re ringing from one moment you ve reached the [Company] department and i can see a note that we tried you yesterday about the form you submitted uh what s wrong with it nothing is wrong with it one field was left blank and we need it before the file can be closed uh which field the date at the bottom of the second page you can fill that in through your online account whenever suits or post the paper copy back the address sits on the letter
p038,invoice_explanation,s_90,scam,youtube_asr,thanks for getting connected not in how can i help you um yes i got an invoice from [Company] it says that i m gonna be paying [Number] and wondering why i m being charged okay and did you give any approval for this transaction i called my husband and read the invoice to him and he said we re not paying that we don t we re the we use [Company] and i m like well what is a [Company] it is a antivirus and full protection for the computer so if you did not authorize i just uh build up your case with the help of your invoice id number and i can see it is a suspicious charge that figures um is okay so i ll do whatever it takes to get this canceled and if we ve been charged i would like our money back if possible yeah yeah i ll i ll help you for the cancellation you have to go online on your computer then i can help you step by step
p023,security_awareness_call,s_65,scam,youtube_asr,so [Title] my name is and i m from the cyber security department right now how are you doing today good so right now so what exactly is happening there are these hackers they re having their a bunch of devices being connected with your [Company] account and with your personal informations right now and also we got to know the root cause of this problem the root cause of this problem is your ip address do you know what ip address stands for or what exactly it is no the ip address is something which is connected with your wi fi which is attached with your wi fi and the full form the of ip address would be internet protocol address all right okay how do i fix that well right now how we can fix that we
p050,large_invoice_email,s_88,scam,youtube_asr,thank you for calling customer support my name is how can i help you yes i just got home and noticed an email that was in my inbox i m telling me that i have a seven almost seven hundred [Number] 93 a bill for a product called [Company] i don t understand why we re paying for this i don t even know what [Company] is okay so it is for your computer do know about it we were told by geek squad that our computer came with free antivirus called [Company] okay so you would like to cancel it yes please that price is almost as much as it as the computer is so i would like to request you to please be in front of your computer so that i m
p027,subscription_auto_renewal_notice,s_23,scam,youtube_asr,[Greetings] this is a call from [Company] to inform you that your [Company] prime account will be auto renewed for 79 99 from your bank account so enjoy using [Company] prime services or if you wish to discontinue or unsubscribe services then speak to our [Company] service [Title] by pressing one
p043,invoice_worry,c043,nonscam,authored_counterpart,thanks for calling the cancellation department how may i help you today hello um i got an invoice this morning and i decided to hold off going to work because of it i thought i needed to take care of it straight away uh you didn t need to do that let s sort it now could i take the reference on it yes it s [Number] thank you one moment right so that s the annual renewal notice and it tells you what will be charged on [Number] it isn t a demand for payment today uh so no money has gone not yet the transfer goes on the date shown and until then it can be stopped uh i d rather stop it that s done from your account under billing and once it saves nothing further is taken
p007,debit_card_purchase_alert,s_92,scam,youtube_asr,thank you for calling customer support how can i help you yes i got an email and text earlier today saying a purchase of [Number] have been made using your debit card in case you have not done this transaction please call this number so as you can see there is an order purchase of bitcoins i can definitely tell you it wasn t my order i wouldn t and touched bitcoin with a 10 foot pole um but as you can see the authorization is coming from your side did you ever share your email and password with anyone else no i have no need to i have no desire to
p019,scheduled_technician_call,s_98,scam,youtube_asr,[Greetings] is this uh yeah [Title] this is you re at home okay so can you get in front of your computer please yeah let me uh get over there okay [Title] so is this the same computer which you were using before yeah it s got the teamviewer application okay i want you yeah i want you to open teamviewer please it s open it says ready to connect connect okay just give me a minute
p012,laptop_order_invoice,c012,nonscam,authored_counterpart,yes um i got an email and had an invoice attached to it it s telling me that i have something on order a dell inspiron laptop and it was [Number] and i m not quite sure i m understanding why i m getting this uh let me take a look could i have the invoice number from the top of it yes it is [Number] thank you one moment right so that invoice was raised against a business account with a very similar name to yours and it has gone out to the wrong contact uh so it is not mine no it is not and there is no order under your name the amount has not been charged to any card of yours i have cancelled the invoice at this end you may get one automatic reminder before the system updates so ignore that if it arrives
p020,remote_session_query,c020,nonscam,authored_counterpart,[Greetings] hi thank you for calling technical support this is how can i help you hey um i was on with someone earlier because i had a pop up and he had me download ultra viewer and then the call just cut off and he never came back uh right where did you get the number you rang it was on the pop up itself ah that will not have been us we do not put phone numbers in pop ups and we do not use ultra viewer for support sessions uh so who was that i cannot say but i would treat it as someone you should not have let onto the machine what i would do now is uninstall ultra viewer from the programs list and change the password on your email from a different device uh can you do that with me the uninstall you can do yourself and i will talk you through where it sits but the password change needs to come from your own login
p021,cancellation_department,s_95,scam,youtube_asr,thanks for get connected to the cancellation department this is how are you doing today hi well i have an email invoiced in this morning i m being charged [Number] and i m not sure i understand why that says on thank you for choosing [Company] protection plan um you find the related invoice sympathetically against the contributions for the auto reclamation code quantity [Company] total security and where did you get this email in your computer or in your cell phone and i got it on i got it on my email just too long for a moment let me check it in my system and you did not authorize for this subscription right now of course not i don t even know what at [Company] total protection is well let me tell you about [Company] is a utility software for the computer protection okay it s like [Company]
p010,purchase_verification,s_89,scam,youtube_asr,thank you for calling [Company] thank you for calling [Company] support my name is how can i help you today i am looking at what appears to be a [Company] purchase and it has your phone number on it this is [Company] nobody to answer him why did you answer [Company] if its [Company] no no it s the [Company] shopping like i was asking this [Company] shopping i was talking with somebody i m so sorry but you re talking to me that s okay someone is hacked your [Company] account is linked with your ip address someone is doing some fraud activity with your [Company] so i m being charged [Number] and right but you no need to worry [Title] i m here to help you i will guide you step by step how you can cancel that charges and how you can protect your [Company] account after that we can cancel all the order one by one those hackers
p034,purchase_confirmation,s_58,scam,youtube_asr,thank you for calling [Company] this is how may i help you hello um i was talking to or or something yeah [Title] there is a purchase for iphone on your [Company] account okay so have you made this purchase or not because this is just a very efficient call so have you made this purchase or not uh no can i please speak to because he locked my computer sorry [Title] can i please talk to him because he locked my computer
p031,order_charge_notice,c031,nonscam,authored_counterpart,[Greetings] this call is about your [Company] account there is a charge for [Number] 92 on the account for an order placed on [Number] if you made that order nothing needs doing and if you did not the dispute option sits in your orders page
p031,order_charge_notice,s_66,scam,youtube_asr,[Greetings] this call is regarding your [Company] account there is a charge for [Number] 92 in your [Company] account for some products if you made this order then simply hang up the call or please press one immediately to connect our representative thank you
p004,online_order_confirmation,c004,nonscam,authored_counterpart,[Greetings] this is from [Company] customer service we are calling about a recent order number amz [Number] on your account which is billed to the card attached to your [Company] account the amount charged is [Number] the delivery slot has moved so we wanted to check the new date works for you uh yes that is my order right so it is now arriving on [Number] instead does that suit yes that is fine the order stands as it is and nothing else changes
p018,refund_claim_followup,s_21,scam,youtube_asr,thanks for calling how to help you hi there my name is and one of your colleagues tried to call me yesterday but i was very busy so i m just wondering what s the call regarding so can i have a full name [Title] and my surname is okay alright we just tried to call you yesterday about the refund of your mis sold ppi claim yes i ve heard of it so how much would that be the full amount of which you are entitled to receive is
p050,large_invoice_email,c050,nonscam,authored_counterpart,thank you for calling customer support my name is how can i help you yes i just got home and noticed an email in my inbox telling me i owe almost seven hundred [Number] 93 and i want to know what that s about uh let me look could i take the invoice number from it yes it s [Number] thank you one moment right so that amount covers the three year plan which was the option selected at checkout uh i only wanted the one year i understand the plan can be changed within thirty days of purchase and the difference is credited back to the card uh so i m not stuck with it no i can switch it to the one year now and reissue the invoice at the lower figure the credit shows on the card within five working days
p024,business_invoice_query,s_79,scam,youtube_asr,thank you for calling [Company] securities how may i help you um i m calling because i have a a [Company] invoice for [Company] [Number] it s being charged [Number] we only use our [Company] for emergencies and for us to be charged on my emergency this is not [Company] this is [Company] security so the payment method is doesn t matter just confirm me what would you like me to do with this auto renewal i need to cancel and get my money back if i m being charged all right so right now what we will be doing we will be going ahead and canceling the order for you okay open up your [Company] chrome internet browser on your computer so it is personal computer help 24 7 dot info and you need to give
p002,transfer_to_department,s_52,scam,youtube_asr,all right [Title] now you have been successfully connected to the [Company] support right now this team environment we are just working on it all right now just hold on i m going to transfer this call to my financial department who is going to have a talk with you all right [Title] okay okay so right now [Title] like the hackers have charged you this amount of money today s morning okay might be not showing up in your account because it takes some time to come up on your online banking okay so let me provide you the cancellation form so we can cancel the stuff and refund you your money back into your account okay all right the hackers have charged you from your debit card okay and they have used your information in the western union do you know anything about
p026,refund_already_processed,c026,nonscam,authored_counterpart,[Greetings] this is a call about the refund on your account for the computer support plan you cancelled last month the amount goes back to the card you originally paid with and it takes about five working days the reference for it is [Number] if it has not shown by then ring the number on your statement
p009,unrecognised_order_email,s_38,scam,youtube_asr,thank you for calling [Company] this is can i help you yeah i was just getting an email saying i ordered a tv but i did not alright [Title] just give me a moment let me check and when did you receive this email today at may i have the email address let s see my email address is i m going to send you a one time verification code ok on your email just to verify i m talking to the right person
p020,remote_session_query,s_60,scam,youtube_asr,[Greetings] hi thank you for calling technical support this is how can i help you hey um i was on with this guy um because i had a pop up and he had me a download ultra viewer and then he just like shut his phone off and he didn t help me well do you have the ultra viewer id and the password on your screen yes [Title] i do can you are you able to help me well all right just give me one minute okay okay i just want to make sure i ll be connected just give me one minute right just give me one minute and you said you have a pop up on your computer i did but i shut my computer off and restarted it and it s gone but i m scared that i have a virus or something and i d like somebody to check
p030,order_dispatch_notice,s_24,scam,youtube_asr,dear customer we have detected a suspicious activity on your [Company] account an unauthorized purchase of iphone 6s 64 gigabytes has been ordered from your [Company] account to cancel your order or to connect with one of our customer support representatives please press one
p035,email_password_reset,s_47,scam,youtube_asr,yes hello yeah hello am i talking to now yes yeah hi this is from [Company] support department i m your email service provider so how are you doing today uh [Company] okay what s the call about um let me confirm your email address at [Company] com is that correct uh yeah that s right and so yeah within 48 hours ago did you trying to change your [Company] acount password more than 50 times uh no i haven t
p012,laptop_order_invoice,s_94,scam,youtube_asr,yes um i got an email and had an invoice attached to it it s telling me that i have something on order a dell inspiron laptop and it was [Number] and i m not quite sure i m understanding why i m getting this do you do not have an [Company] account i have an [Company] account so obviously maybe some issue happen while you receive this email can i have your first and last name [Title] so that i can check the details for you yes my first name is last name is i ll just go ahead and check that that why you received this email if you didn t use this okay hold the line for a minute i ll be back don t mind my silence okay t
p032,missed_call_followup,s_11,scam,youtube_asr,[Greetings] i received a missed call from this number what is this regarding do you know uh okay can i have your name please that s my full name you have reached the [Company] department right now and i can see here we were trying to call you yesterday right that s right you re talking to [Title] right now and i m from [Company] department how are you doing today first of all i thought all my taxes were all in fine i mean i didn t know i have a problem with [Company] no we don t want to talk about the taxes
p013,invoice_query,s_62,scam,youtube_asr,[Greetings] [Company] yeah thank you for calling people how can i help you um i got a um i got a invoice or something that i owed [Number] but i haven t bought nothing okay [Title] as i can understand that you didn t purchase anything like bitcoin or anything like cryptocurrency right no did you did you authorize to anybody no then i will help you out of this problem just confirm your memo id you ll help me yeah i am i will explain each and everything so what happened to exactly right now just hold on [Title] first thing can you please confirm me like one one thing have you ever shared any personal details to anyone like your any family member or any family friend
p003,broadband_upgrade_offer,c003,nonscam,authored_counterpart,[Greetings] [Title] how are you doing today fine thanks who is this uh this is calling from [Company] about your broadband package you spoke to one of my colleagues last month about the speed on your line uh yes i did so what do i need to do for this upgrade nothing today the faster package is available on your line at the same price for the first six months after that it goes to the standard rate which is printed on your bill uh and there is no charge to switch no the change happens at the exchange and you keep the same account number if you want it you can switch it through your online account whenever suits or ring the number on your bill
p004,online_order_confirmation,s_3,scam,youtube_asr,[Greetings] this is from [Company] customer service we have seen a recent order number amz [Number] of iphone 11 pro on your account which is billed on your card attached to your [Company] account the amount charged in [Number] we noticed some suspicious activity on your account so we have put in hold to this transaction please press one now and to report please press two thank you
p034,purchase_confirmation,c034,nonscam,authored_counterpart,thank you for calling [Company] this is how may i help you hello um i was talking to someone earlier about a purchase yeah [Title] there s a purchase for an iphone on your [Company] account okay so have you made this purchase or not uh no i haven t right in that case i m cancelling it and the card that was used isn t one we hold on your account so no money has moved uh can i speak to the person i had before he s with another caller but the notes are on the account so you won t have to go through it again
p042,security_centre_message,s_86,scam,youtube_asr,this is how can i hello i got a message on my screen it says it says [Company] system security center it says access to the [Company] device has been blocked for security reasons why am i seeing this message boy okay uh you might have done something wrong by mistake or you may have something son i m a preacher i m a man of god i preach the good word i don t do anything wrong it s with good intentions when i was looking up a recipe for some grits and eggs i clicked on the link and i got this message okay you said you are priest i m a preacher bay i m a baptist preacher ain t no priests i ain t no cathlic do you go to church on sunday do you worship the good lord
p010,purchase_verification,c010,nonscam,authored_counterpart,thank you for calling [Company] support my name is how can i help you today i am looking at what appears to be a [Company] purchase and it has my phone number on it uh right could i take the order number from that page yes it is [Number] thank you one moment let me bring it up so that purchase was placed on [Number] and the delivery address on it is in [Company] uh that is not my address then it is not your order the account it was placed from uses a similar email to yours which is why the notification reached you uh has any money gone from me no the card that was used is not one we hold against your account so nothing has been taken from you i am cancelling the order at this end and flagging the account for review you will get written confirmation within a few days
p040,account_details_update,c040,nonscam,authored_counterpart,[Greetings] oh a very good day to you [Title] this is thank you for getting connected with [Company] how can i help you well i don t think i have anything to do with [Company] uh let me check the number you re calling from one moment ah i see we wrote to you last month about the address held on your account uh yes actually i did move that s all it is then the update can be done in your online account or at any branch with proof of address
p022,confusing_invoice,c022,nonscam,authored_counterpart,thank you for calling support how can i help you hi um i got an email with an invoice for [Number] and i m really confused because i do not know what [Company] is uh right so [Company] is the billing name that appears on the statement for our software so it may not look familiar even though the account is yours uh i still do not remember buying anything let me check could i take the invoice reference yes it is [Number] thank you one moment so this covers the licence that was bought on [Number] and it is the annual renewal of that same licence uh that was a one off i thought it was sold as an annual plan so it comes round each year the option to stop it renewing is in your account under billing and once that is set nothing further is charged
p046,warning_alert_page,s_82,scam,youtube_asr,thank you for call support this site how can i help you today okay so [Company] warning alert system access has been blocked for security reasons and for the safety your system has alerted us that has been infected with spywear issues threat detected trojan spyware access has been blocked for security reasons and for the safety call [Product] security toll free okay i understand [Title] not an issue now at that time [Title] i believe you can see the pornographic spyware alert am i m right now son all i ve got to tell you i m a preacher and there ain t no way in hell that i ll be watching no porn okay i can explain you [Title] what is the meaning of that that means [Title] the message which you are facing on that
p011,supervisor_callback,s_63,scam,youtube_asr,[Greetings] this is calling you from [Company] i am the senior supervisor how are you doing today oh i m fine mr thank you all right so i believe uh [Title] you just had a vote with one of our representatives regarding to your [Number] 95 refund right all right so could you please just explain me [Title] what exactly happened like uh can you see me once again what happened oh um i just got an email that um that i was being renewed for [Number] 95 so i believe that um the subscription which has been ordered i believe that was an unauthorized charge right you didn t authorize that correct right i don t remember if i had it on my own computer or not i probably did um but i just want to cancel it now [Title] in this case what i would be going to do i would be requesting our auto robotic team so that they can simply open up the refund form so that you can
p001,misdirected_order_email,s_64,scam,youtube_asr,thank you for calling [Company] how can i help you yeah hi um i just received an email from you guys on an order that s actually was supposed to go to a different gentleman so can you please go to your email again i sent you a six digit code again my system got some problems so i m just calling you from my colleague extension so go to your email and once again confirming the six digit code the code is all right and now go to the text message section of the cell phone and you ll see that link again okay you need to head on approve okay hold on all right [Title] so i m having some issue i m technical some technical issue with my system so what i m going to i m going to transfer your call to the senior supervisor on the floor he ll help you in much better way all right his name is
p048,blocked_message_read_out,c048,nonscam,authored_counterpart,thank you for calling support how may i help you hi um i have a strange message on my screen it says access to my device has been blocked for security reasons can you tell me what it means uh could you read me the very top line of the window yes it says [Company] security alert right and just above that is there a web address bar with something in it yes there is that settles it then a genuine system notice has no web address above it so this is a page dressed up as one uh should i call the number on it no that number isn t ours close the tab the same way you d close any other and the message goes with it
p029,call_transferred_complaint,c029,nonscam,authored_counterpart,thanks for calling support my name is how can i help uh yeah the last person i spoke to cut off on me i got an email about a purchase i didn t make and i had to start again uh i m sorry about that the line does drop when calls move between teams could i take the order number from that email yes it s [Number] thank you one moment right so i can see it and the fraud team already cancelled that order yesterday so nothing has been charged to your card uh nobody told me that no the confirmation should have gone out to you and it didn t i m sending it now and the reference is [Number] so you have it in writing
