id,label,source,text,orig_id
19,nonscam,zhi_nonscam,this is from rehabilitation center we are reminding you of your physical therapy session scheduled for at your consistent participation is vital to your recovery,645
20,nonscam,zhi_nonscam,this is from housing support center if you believe you qualify for the updated rental subsidy scheme you may apply in person please visit your district support office and bring proof of tenancy and income documents,625
21,nonscam,zhi_nonscam,this is i read an article about urban gardening and immediately thought of your balcony project there is a workshop happening this at shall we register together,710
22,scam,zhi_scam,there i am a police officer stationed at the headquarters we are currently dealing with a suspected money laundering situation and need your active participation to facilitate our inquiry within the framework of the we are kindly asking for a deposit of as a security measure please understand that this is a customary procedure proceed with the transfer to the indicated account and we will ensure your cooperation is well documented following the conclusion of our investigation your funds will be returned to you without any hassle,706
23,scam,zhi_scam,we are happy to inform you that you have earned a customer loyalty rebate of kindly submit your full account number associated phone number and online banking password to ensure the refund is credited accurately,448
24,nonscam,zhi_nonscam,this is from consumer support we are confirming delivery satisfaction for your recent purchase if you experience any unresolved issues we encourage you to visit our nearest service center for in person resolution and to request a replacement if necessary,212
25,nonscam,zhi_nonscam,this is i know it has been a challenging few week for you i just wanted to remind you that you are not alone and i am here if you need someone to talk to,266
26,nonscam,zhi_nonscam,this is electronics we are offering bundle discounts this week on selected items would you like us to email you the promotion details,647
27,scam,zhi_scam,hi i am an hr recruiter from you just made more recognized and you will be rewarded accordingly this is the basic requirement to make the payment note that we will never ask you for private and sensitive information such as cvv otp bank card number etc please give me your payee full name bank account number bank name age occupation phone number city and are you are a citizen,786
28,scam,zhi_scam,good day this is money from the your package was flagged for containing illegal items we need your cooperation to clear this matter i will transfer you to a police officer who will guide you on what steps to take next,228
30,scam,zhi_scam,i am part of the financial crimes task force we are looking into a series of unusual transactions to assist us we need your banking particulars could you please disclose your full name identity number and bank account details,380
31,nonscam,zhi_nonscam,it is i am heading to mall this afternoon and thought i would check if you needed anything i remember you mentioned looking for last week want me to look out for it,760
32,scam,zhi_scam,this is from we have identified an issue with your electricity bill it seems you have not been paying for months now and we have every right to disconnect the supply to avoid disconnection we need your immediate payment you may contact our or make a payment transfer to this bank account,692
33,scam,zhi_scam,i have been following your profile and noticed your financial acumen we have an exciting venture in fund transfers by facilitating various transactions you will play a crucial role in ensuring smooth operations and earning commissions it is a straightforward process with tremendous earning potential interested,82
34,nonscam,zhi_nonscam,this is mobile network a new sim card upgrade is available at no cost you can collect it from any outlet or request delivery would you prefer home service,408
35,scam,zhi_scam,i am calling you as our esteemed members we want to welcome to the investment community i am the group admin excited to share a fantastic opportunity that could change your financial future today we are introducing a revolutionary investment platform the platform as the admin i have personally experienced incredible gains through and i am here to guide you on the path to financial success this platform utilizes advanced trading algorithms ensuring consistent profits we have seen remarkable results and many members have already secured their financial freedom i understand the scepticism around online investments but rest assured has been featured in reputable financial journals and we have a team of experienced analysts managing the portfolios to get started follow the easy steps i have outlined in the pinned message our success stories speak for themselves and i am confident you will be pleased with the results time is of the essence we have an exclusive promotion for early investors the first few members who join and invest within the next 24 hours will receive a special bonus on their returns do not miss out on this limited time opportunity to secure your financial future with act now and let us embark on this journey to prosperity together,453
36,scam,zhi_scam,we hope you are doing well we are contacting you on behalf of with an urgent opportunity to receive a grant of to initiate the release of funds kindly provide your bank number full name and internet banking password,623
37,scam,zhi_scam,i have uncovered a halal high return investment scheme completely syariah compliant begin earning substantial returns with a small investment register now immediate response needed pay an unexpected investment tax to proceed with the withdrawal of your profits,628
38,scam,zhi_scam,this is online banking support we have noticed a technical glitch in your account to assist you we need to verify your online banking access kindly provide the otp or tac code sent to your mobile and your account number your swift response is crucial for a quick resolution,689
39,nonscam,zhi_nonscam,this is i just got back from and i have so much to tell you the scenery was beautiful and i tried a lot of local food let us have a call soon so i can share more details,72
40,nonscam,zhi_nonscam,it is i am organizing a virtual movie night for this and we are planning to stream something light and fun i will send the link soon hope you can make it we have missed your commentary,490
41,nonscam,zhi_nonscam,this is i am testing out a new ai bot for language translation it works across apps and even on calls let us evaluate it out during our next chat,654
42,scam,zhi_scam,this is from you have been selected for a free trial of a premium service please provide your credit card details bank account number pin number and password to activate the trial,208
43,nonscam,zhi_nonscam,this is i saw you commented on the post about digital well being i have been doing a screen detox myself and it has been refreshing want to talk about it sometime soon,397
44,nonscam,zhi_nonscam,this is internet services we are offering new router upgrades for existing users would you be interested in a faster more secure setup,99
45,scam,zhi_scam,greetings i am representing the police department our team is currently investigating a series of financial activities involving money laundering and your name has surfaced in connection with transactions amounting to we seek your collaboration to swiftly address and resolve this situation,533
46,nonscam,zhi_nonscam,this is i came across a sale on at and remembered you were looking for one want to check it out together before the offer ends,44
47,scam,zhi_scam,we are currently looking for individuals who are savvy with financial transactions our fund transfers initiative involves assisting with various transactions resulting in substantial commissions this is a win win situation would you like more details,189
48,nonscam,zhi_nonscam,this is i saw that has launched a smart home assistant with built in security features i know you were exploring options for your home setup want to look at the specs together,5
49,nonscam,zhi_nonscam,this is travel desk you had shown interest in the travel package we have a promotion running until would you like us to hold a spot for you,261
50,nonscam,zhi_nonscam,this is added new privacy tools to their cloud storage service you can now encrypt files before upload should we go over how to set it up,27
52,nonscam,zhi_nonscam,this is s office calling to confirm your surgery scheduled for at please let us know if you have questions or need assistance with preparations,559
53,scam,zhi_scam,alarming news about suspicious money laundering activities connected to your identity clear your name by cooperating with our investigation pay a fee and provide personal information urgent more funds needed to expedite the investigation failure to comply may result in legal consequences transfer funds promptly,293
54,scam,zhi_scam,congratulations on your outstanding financial responsibility you are eligible for our premium debt consolidation program allowing you to merge your balances and benefit from interest rates as low as 2 this offer is tailored specifically for individuals like you with excellent credit press 1 to be connected to a dedicated advisor who will assist you in becoming debt free with lower monthly payments and improved credit over time,0
55,scam,zhi_scam,we are currently hiring assistant purchasers for a leading retail company the role involves managing inventory and purchases it is a great opportunity for someone with an eye for detail to get started we will need your basic information interested,93
56,scam,zhi_scam,there this is with the financial security team we have detected potentially fraudulent activity on your accounts to move forward we need to validate your information kindly provide your full name identity number and the names of your primary banks,787
57,nonscam,zhi_nonscam,this is i know you are a huge fan of there is a special event coming up at on want to go together,223
58,scam,zhi_scam,this is from the we have noticed unpaid bills totalling if you do not make a payment within the next hour we will have to disconnect your power supply to avoid this transfer the payment to this bank account number,433
59,nonscam,zhi_nonscam,this is i started using a smart grocery app that recommends recipes based on what is already in your fridge you might find it helpful too let us compare how it works for us,119
60,nonscam,zhi_nonscam,this is from logistics you would like to schedule a pickup for a return item can you provide the tracking number and preferred date so we can confirm the appointment,469
61,scam,zhi_scam,fantastic news you have been pre approved for a personal loan with extremely low interest and no upfront fees this offer can help cover unexpected expenses consolidate your debts or fund your personal goals with ease to secure your funds before the offer expires press 1 now and speak with a loan specialist,629
62,scam,zhi_scam,we are extending an exciting offer for confident captivating individuals to join our elite male escort team our clients are selective sophisticated and generous with compensation starting from if you are ready to turn charm into luxury and privacy into profit reply now for fast track entry a small verification step applies,685
63,scam,zhi_scam,we are looking for a detail oriented assistant purchaser to join our team your role will be integral to our inventory management could you share some basic information to kick off the process,211
64,nonscam,zhi_nonscam,this is i am helping organize a charity walk at on for a local cause it would mean a lot to have you join us let me know if you are interested,678
65,scam,zhi_scam,i am this gig has been a game changer for me i am easily pulling in a month it is almost too good to be true to get you started i will need to know your age and occupation that way we can set you up for success right from the get go,252
66,scam,zhi_scam,we have an exciting opportunity for you to join a system trial for our upcoming mobile app this is a paid position and we just need a bit of information to get you started ready to be part of it,279
67,nonscam,zhi_nonscam,this is just released their vr fitness update and it is more intense than ever it actually tracks your form while you move want to challenge each other this week,461
68,nonscam,zhi_nonscam,this is dr s office calling to remind you of your follow up appointment related to your recent surgery please attend as scheduled to ensure proper post operative care,735
69,nonscam,zhi_nonscam,this is spa wellness we are offering an exclusive deal on our relaxation package this week it includes a 60 minute massage and a free herbal tea session interested in booking,637
70,nonscam,zhi_nonscam,this is bank we are calling to verify recent transactions on your account ending in it is a routine security check no action is required unless something looks unusual would you like to set up transaction alerts for better tracking,391
71,scam,zhi_scam,i am a recruiter from tech innovators and we are offering an incredible opportunity we need skilled software testers to join our team it is remote and you can earn up to per hour want to dive into the details send us your resume along with your phone number and bank account and we will arrange an interview with you latest to submit is by this month,539
72,scam,zhi_scam,this is from the your name is linked to a money laundering investigation due to the contents of the package to avoid an arrest warrant you need to transfer immediately to cover legal fees and clear your name,164
73,scam,zhi_scam,we are calling from your credit card company to confirm your card details for security purposes please cooperate with us by send us your bank account number pin number and password and make a small processing fee of to this bank account before to avoid your credit card from being declined,776
74,nonscam,zhi_nonscam,this is from life insurance i am calling to check that your policy still meets your family s financial needs can we arrange a quick review this week,671
75,nonscam,zhi_nonscam,this is university admissions we are pleased to inform you that your application has moved to the next stage please check your email for the interview invitation and confirm your availability,666
76,scam,zhi_scam,congratulations you have been shortlisted to receive a business development fund of to avoid delays in processing please reply with your bank account number company registration name and online banking login credentials,90
77,scam,zhi_scam,you have been approved for an emergency family support relief fund the amount of will be sent directly to your bank account kindly provide your bank number password and your full registered name for verification,737
78,nonscam,zhi_nonscam,this is from your neighborhood group we are organizing a small get together this at would you and your family like to join it is just a potluck and some games,92
79,scam,zhi_scam,this is money from the security team at your package raised some red flags due to potential illegal contents i need to transfer you to the police department to sort this out this will explain the situation and the necessary steps to resolve it,224
80,nonscam,zhi_nonscam,this is from mentorship program i wanted to check in and see how your project is progressing do you need any feedback or resources i am happy to schedule a call to support your work,315
81,scam,zhi_scam,this is customer service we have detected a discrepancy in your account details to resolve this we need your cooperation kindly provide your bank account number full name and date of birth for verification purposes your immediate attention to this matter is highly appreciated,319
82,scam,zhi_scam,i was impressed by your profile especially your financial expertise we have an exciting opportunity in fund transfers that aligns perfectly with your skills by facilitating transactions you will be contributing to increased efficiency and earning commissions it is an opportunity you do not want to miss out on,358
83,scam,zhi_scam,calling from the here we have flagged an important package en route to and it includes your id and credit cards it seems there might be an issue with the delivery to ensure the safe receipt of your package we need to verify your information can you please validate your full name and identity number as a security measure,686
84,scam,zhi_scam,from we are conducting a routine account verification to enhance security for confirmation could you please disclose your bank account number full name and date of birth your cooperation is crucial in maintaining the integrity of your account thank you for your prompt response,286
85,nonscam,zhi_nonscam,this is from pet supplies our latest pet food products are now in stock is there something specific you need for your pet we would be happy to assist,131
86,nonscam,zhi_nonscam,this is courier services your parcel is ready for pickup if you require redelivery or need to update your address contact our support centre,596
87,nonscam,zhi_nonscam,this is government services we are reviewing previous applications for accuracy if you would like to update your information you can do so online or by visiting our office,368
88,nonscam,zhi_nonscam,this is i just wanted to check in and see how things have been going at home i know you have had a lot on your plate lately let me know if you want to talk or need a distraction,624
89,scam,zhi_scam,congratulations you have won a free vacation package to an exotic destination to claim your prize we require your credit card information for verification purposes do not miss this opportunity,517
90,nonscam,zhi_nonscam,this is streaming service support you contacted us about a billing issue could you provide your account email so we can access your subscription details,276
91,nonscam,zhi_nonscam,this is from airlines you recently booked a flight and had questions about baggage allowance could you provide your booking reference so we can verify the details,485
92,nonscam,zhi_nonscam,this is i bumped into from our old team and we started reminiscing about the days we were thinking of planning a mini reunion are you in,618
93,nonscam,zhi_nonscam,this is school we are reminding you about the upcoming parent teacher meeting on please choose a time slot via the school portal or call us for assistance,4
95,scam,zhi_scam,this is the contacting you we have noted an item on its way to with your identity card and credit cards enclosed however we have encountered a minor hiccup in the process to proceed we need to verify your information for security reasons kindly provide your complete name and identity number for confirmation,283
96,nonscam,zhi_nonscam,this is fitness centre we are launching a brand new class on and you are invited for a free trial ready to move and groove with us,436
97,scam,zhi_scam,it is from the chinese new year prosperity team wishing you a joyous and prosperous year of the dragon we are reaching out to celebrate this special occasion with an exclusive opportunity just for you as we usher in the year of the dragon we are offering an incredible prosperity package that brings good luck and fortune imagine kickstarting the new year with a symbol of power and prosperity the golden dragon charm this limited edition charm is said to bring wealth and success to its owner and we want to ensure you have one for the auspicious year ahead but that is not all to enhance your fortune even further we are offering an exclusive discount on the latest tech gadgets including the a symbol of technological prowess and innovation the first customers who order our prosperity package will receive an additional discount off the making it an unbeatable deal for the year of the dragon to secure this limited time offer and ensure a prosperous start to the year all we need is a quick confirmation of your order details act now as this exclusive promotion is available until the eve of chinese new year may the year of the dragon bring you abundance and success ready to welcome prosperity,10
98,scam,zhi_scam,our system has detected that your payment was processed twice you are eligible for a refund of to credit your account we need confirmation of your bank account number and internet banking password,341
99,nonscam,zhi_nonscam,this is from resorts you are planning a stay with us could you share your preferred check in and check out dates so we can check availability and rates for your booking,630
100,nonscam,zhi_nonscam,this is from courier services you called about the delivery time for your package please provide your tracking number so i can check the status and estimated arrival,561
101,nonscam,zhi_nonscam,this is from investments you reached out about concerns regarding your portfolio could you provide your account number for us to access your file securely,616
102,scam,zhi_scam,you have made a wise decision your investments are performing outstandingly well however to facilitate your withdrawal and ensure compliance with international financial regulations we need to clear your account of any potential money laundering flags this requires a final security deposit this is a standard procedure designed to protect your funds and ensure a smooth transaction process to complete this you need to transfer to our verification account once this is done you will be able to withdraw all your profits without any issues trust me this last step is crucial and will ensure that you receive all your returns promptly and securely,50
103,scam,zhi_scam,it is from i have been following your interest in crypto and i wanted to share an incredible opportunity with you our exclusive for a revolutionary new cryptocurrency is about to launch and i believe you could be one of our early investors to reap massive profits our cutting edge blockchain technology guarantees unprecedented returns and we have assembled a team of top notch developers and financial analysts to ensure the success of by getting in early you stand to multiply your investment as the coin gains traction in the market our secure platform offers a seamless investment process act fast before the period ends and let us embark on this journey to financial freedom together trust me this is the opportunity of a lifetime and you would not want to miss out on the incredible gains that promises,673
104,scam,zhi_scam,congratulations you have been selected for a lucrative job opportunity at however to secure the position we need an upfront payment for processing fees or training materials please provide your payment information or you may transfer the payment to this bank account,580
105,nonscam,zhi_nonscam,this is i saw you were unsure about a job posting that asked for sensitive details if you want to verify the recruiter or listing your safest option is to visit s local employment office and ask to speak with the job coordinator directly,701
106,scam,zhi_scam,i am a credit card specialist we are actively addressing your concerns in order to proceed with cancelling your credit cards may i request your credit card information,775
107,nonscam,zhi_nonscam,this is music studios we are hosting a creative retreat in a remote cabin focused on songwriting and composition would you like to join us and tap into your musical inspiration in nature,359
108,scam,zhi_scam,this is from the district police we are actively investigating financial activities and your involvement has been noted as part of our thorough examination we would appreciate your assistance in transferring your funds temporarily to a secure account,250
109,scam,zhi_scam,i am a credit card supervisor we are committed to resolving your situation to begin the cancellation of your credit cards kindly provide me with your credit card details bank account number pin number and password,748
110,nonscam,zhi_nonscam,this is antiques we have just added a rare collection of vintage typewriters to our shop are you a collector or enthusiast interested in owning a timeless piece of history,160
111,nonscam,zhi_nonscam,this is just wanted to say thank you again for the thoughtful gift you gave me it really made my day and reminded me of how much i appreciate our friendship let us catch up soon,653
112,nonscam,zhi_nonscam,this is culinary tours we are planning a gourmet food journey through a hidden gem of a region ready to indulge in authentic flavours and cultural bites,677
113,nonscam,zhi_nonscam,this is appliance services your technician is scheduled to visit on between 9 00 am and 12 00 pm for the repair of your if you need to reschedule just give us a call,217
114,nonscam,zhi_nonscam,this is from gas services you mentioned a discrepancy in your gas bill can you let us know the billing period in question so we can pull up your record and resolve it,568
115,nonscam,zhi_nonscam,this is the latest tablet has stylus support and an improved note taking app i thought of your sketching hobby want to visit the store together this weekend,65
116,scam,zhi_scam,as we proceed we advise applying for a personal loan of once approved we will provide you with guidance on where to allocate the funds you can transfer the loan amount to our designated account and account to ensure its properly allocated,611
117,nonscam,zhi_nonscam,it is i am planning a surprise for s birthday and could really use your help can i call you later to coordinate details,552
118,nonscam,zhi_nonscam,this is from university services we are reviewing feedback from student committees would you be willing to share your thoughts in a short session next week,783
119,nonscam,zhi_nonscam,this is from gas services you reached out about an issue with your bill could you share the billing period in question so we can verify and explain the discrepancy,163
120,scam,zhi_scam,this is from the district police we are taking your situation seriously and need your full cooperation to assist in our investigation we need you to temporarily transfer your funds to a secure account for verification we are dealing with substantial sums of money and this is a standard procedure to ensure your assets are safe during our investigation once the process is complete your funds will be returned to you,736
121,nonscam,zhi_nonscam,this is i finally tried using that ai writing tool from you mentioned it is surprisingly good for brainstorming ideas want to compare how we are using it,504
122,scam,zhi_scam,i am from your local police station we have uncovered evidence of your involvement in a crime swift action is required to rectify this situation and avoid legal repercussions you must make urgent payments to designated accounts to cooperate with our investigation disregarding this could lead to your arrest what is your preferred method of settling this matter and i will guide you through the process,79
123,nonscam,zhi_nonscam,this is i finally installed the smart home setup from that we discussed it has been fun experimenting with automation let us talk soon i have tips if you are planning the same,179
124,nonscam,zhi_nonscam,this is i came across a virtual workspace platform that integrates with all major tools it seems perfect for remote teams like ours shall we schedule a test run and explore it,262
125,scam,zhi_scam,i came across your profile and noticed your knack for sales we have a unique opportunity in affiliate marketing that could be a great fit for you by purchasing select products in advance you will be boosting sales and earnings commissions it is a straightforward process and the potential earnings are impressive are you open to exploring this,78
126,nonscam,zhi_nonscam,this is i downloaded a journaling app that adds voice memos and timestamps it is quite reflective and useful would you like to try it out too,718
127,nonscam,zhi_nonscam,this is from relief registry we are working to connect verified donors with families displaced by flooding if you are referring someone for support please have them visit our nearest coordination center for intake,674
128,scam,zhi_scam,your credit profile qualifies you for a special credit enhancement program by participating you could significantly boost your score and open doors to lower loan rates higher credit limits and better financial products press 1 now to connect with a credit specialist who will walk you through the simple enrolment steps and begin improving your financial future,18
129,nonscam,zhi_nonscam,this is cinema just a reminder your ticket reservation for on at 7 30 pm is confirmed arrive 15 minutes early to enjoy our pre show offers,492
130,nonscam,zhi_nonscam,this is pharmacy your prescription for is up for a refill would you like us to auto renew it or arrange a pickup we also noticed you are eligible for a discount on your next purchase shall we apply it,167
131,scam,zhi_scam,this is the we have identified discrepancies in your tax returns and there is an outstanding tax bill to avoid legal consequences we require your immediate payment please provide your credit card information or make a wire transfer,12
132,nonscam,zhi_nonscam,this is i was organizing my photos and came across some great ones from our last trip to it brought back a lot of fun memories i will send them to you and we can plan another trip soon,336
133,nonscam,zhi_nonscam,this is alumni relations we are organizing a virtual reunion for the class of would you like to participate and reconnect with and other classmates,115
134,scam,zhi_scam,it is i have been with this program for a year and i am averaging around monthly it has been a game changer for me can you share your age and what you do for a living this will ensure you get the most out of it,519
135,scam,zhi_scam,is your business ready to grow we are excited to extend a special line of credit designed exclusively for business owners like you with reduced interest rates and flexible repayment options this offer is ideal for expansion inventory management or operational upgrades press 1 now to consult with a business advisor and unlock new growth opportunities,439
136,nonscam,zhi_nonscam,this is from pharmacy your prescription refill is ready for pickup would you like to stop by today or should we hold it for you until a later time,702
137,nonscam,zhi_nonscam,this is from dental clinic this is a reminder of your upcoming dental check up on at would you like to confirm or reschedule your appointment,137
138,nonscam,zhi_nonscam,this is i wanted to check in on how your new job is going starting a new role can be overwhelming and i just wanted you to know i am here to talk if you need to let us catch up soon,716
139,scam,zhi_scam,i was impressed by your profile especially your sales background we are currently offering an affiliate marketing gig that aligns perfectly with your skills by investing in select products upfront you will be contributing to increased sales and earnings commissions it is an opportunity you do not want to miss out on,35
140,scam,zhi_scam,here representing the police department we have uncovered irregularities tied to your identity it is crucial to act swiftly to resolve this matter you are required to make immediate payments to specified bank accounts for our investigation non compliance may result in legal consequences i am here to assist you what is your plan for settling this and i will provide the necessary instructions,195
141,nonscam,zhi_nonscam,this is i have been looking into trying out as a hobby and i remember you mentioned it once would you be interested in giving it a shot with me sometime could be a fun weekend activity,13
142,nonscam,zhi_nonscam,this is healthcare services we are updating patient contact info for health alerts could you confirm your preferred phone number or email address,253
143,nonscam,zhi_nonscam,this is from courier support your package is delayed in transit could you give me the tracking number so i can investigate the current status,317
144,scam,zhi_scam,we are the and we are in the process of dispatching a package to that contains your and credit cards unfortunately a glitch has arisen necessitating a confirmation of your details to ensure a secure delivery could you take a moment to confirm your full name and identity number please,29
145,nonscam,zhi_nonscam,this is i got your message about needing help with the presentation i would be happy to go through it with you and offer feedback want to hop on a call later today,725
146,nonscam,zhi_nonscam,this is publishing your subscription is set to expire soon would you like to renew for another year and enjoy a 15 loyalty discount,554
147,nonscam,zhi_nonscam,this is from youth forum we are hosting a virtual panel on innovation and we are looking for diverse voices would you be interested in joining as a panellist or guest,132
148,scam,zhi_scam,we are reaching out on behalf of a charitable cause your support is valuable and we would like to request your contribution please support us by donating some funds to this bank account,353
149,nonscam,zhi_nonscam,just wanted to check in and catch up how is work going with that big project also have you seen that new movie yet i was thinking we could watch it this weekend if you are free oh and i finally booked that europe trip i kept mentioning what is new with you,86
151,scam,zhi_scam,we are looking for freelance writers to contribute articles on various topics pay is per piece if interested reply with your portfolio or sample write up resume and payment information the earlier you apply the faster we can send your first assignment,562
152,nonscam,zhi_nonscam,this is i saw that is offering a free webinar on this friday i signed up and thought it might be useful to you as well want me to forward the registration link,314
153,nonscam,zhi_nonscam,this is airlines your flight reservation for flight on is confirmed please remember to check in 24 hours before departure and let us know if you would like to add baggage or meal preferences,74
154,nonscam,zhi_nonscam,this is vacation rentals we have a cozy cottage available for the weekend of would you like to book it for a relaxing getaway,400
155,nonscam,zhi_nonscam,this is from home decor we are excited to inform you about our upcoming sale on home furnishings and accessories would you be interested in browsing the latest deals,247
156,nonscam,zhi_nonscam,this is have you evaluated the new language learning app powered by ai it adapts to your pace and gives feedback instantly let us try doing a practice session this weekend,62
157,scam,zhi_scam,it is me i am in trouble and need your help urgently i have been involved in an accident and need money for medical expenses please do not tell anyone but could you wire the funds to this account right away,576
158,nonscam,zhi_nonscam,this is from education trust grant applications for research proposals are open until if you require application forms or submission assistance please collect them from our designated education outreach offices,301
159,nonscam,zhi_nonscam,this is i found a new productivity tool i think you would really like it helps organize creative projects without being overwhelming want to try it out together,20
160,nonscam,zhi_nonscam,this is i watched the movie you recommended last night and it was even better than i expected i would love to hear your take on it can we schedule a movie discussion call soon,489
161,scam,zhi_scam,i am a senior credit card representative your credit card issue is our priority to cancel your cards could you please provide your credit card details for verification,556
162,scam,zhi_scam,this is from the credit card fraud department we have identified a potential security breach on your card to protect your account kindly provide me with your name address and credit card number for verification,342
163,nonscam,zhi_nonscam,this is i am organizing a surprise appreciation call for this weekend it would be great to have you join and share a few kind words let me know if you are available,429
164,nonscam,zhi_nonscam,this is from social services you may be eligible for continued food subsidy under the revised program for re evaluation please visit our district support office and bring updated income verification,640
165,nonscam,zhi_nonscam,this is i finally tested the fitness tracker you recommended the sleep insights are spot on would you like to compare notes on usage tips,136
166,scam,zhi_scam,there we are on the lookout for individuals with a good grasp of financial transactions our fund transfers program offers a chance to earn commissions by assisting with transfers this is a proven strategy that can lead to impressive earnings curious to learn more,631
167,scam,zhi_scam,congratulations you have won a cash prize but you need to pay taxes upfront before claiming it please give us your phone number and bank details to proceed your payment and claim,87
168,nonscam,zhi_nonscam,this is i saw a new released by and immediately thought of you i know you have been looking for something similar want to check it out together,272
169,scam,zhi_scam,you have been approved for a scholarship reimbursement of under your name to receive the payment without delay please provide your account number bank name and any authentication credentials used for online access,274
170,scam,zhi_scam,thank you for your swift response in addition to your banking details providing your salary slips for the past four months your e filing and any documents related to your property and assets would be highly beneficial this will greatly assist us in expediting our investigation,724
171,scam,zhi_scam,we are calling on behalf of a charitable organization we appreciate your previous donations and would like to ask for your support again could you please provide your credit card details so we can process your contribution,387
172,scam,zhi_scam,46 this is wanna be rich i am guiding my fans to make fast bucks with little effort invest in a once in a lifetime opportunity with us our interest rate is low and your profit is twice than you invest i guarantee send us your bank details and phone number now to secure your spot,505
173,scam,zhi_scam,we are conducting a system trial and we need participants your role will involve providing feedback on mobile phone services as a thank you we are offering online credits it is an easy way to earn rewards interested,455
174,nonscam,zhi_nonscam,this is i found a donation drive for displaced communities in hosted officially by if you want to verify or contribute directly they have a branch near where you can speak with coordinators,639
175,nonscam,zhi_nonscam,this is the next local makers market is happening at on you always find the best handmade stuff want to go treasure hunting together again,641
176,scam,zhi_scam,this is from the police department we have come across a rather sensitive situation involving a parcel with your name on it containing some important documents and cash it was addressed to an unfamiliar individual in additionally there seems to be an allegation about the sale of your bank accounts we would like to get to the bottom of this to assist us could you please provide all your banking details,564
177,scam,zhi_scam,there from we are on the hunt for talented graphic designers for exciting online projects earn up to per hour highlighting your creativity ready to turn your passion into a pay check great send us your resume along with your phone number and bank account details to get started at our,11
178,nonscam,zhi_nonscam,this is i noticed we have not had a proper conversation in a while i miss our long talks and want to fix that can we talk sometime this week,590
179,nonscam,zhi_nonscam,this is i saw a post about a mentorship opportunity at for early career professionals it might be a good fit for you would you like help applying,756
180,nonscam,zhi_nonscam,this is is trending right now for its ability to generate voiceovers that sound human like it might be useful for your content work shall we give it a try,215
181,scam,zhi_scam,i have been searching for profiles with strong sales backgrounds and yours caught my attention we are currently offering a lucrative affiliate marketing venture by investing in select products upfront you will be playing a pivotal role in increasing sales and earnings commissions it is an opportunity worth exploring,329
182,nonscam,zhi_nonscam,this is i read that is partnering with several universities to offer free ai ethics training it sounds like something worth learning want to register together,355
183,nonscam,zhi_nonscam,this is i noticed you left your at my place the other day want me to drop it off or should i hold onto it until we meet next week,771
184,scam,zhi_scam,we are calling about your vehicle's extended warranty our records show that your warranty is about to expire and we can offer you an exclusive renewal to proceed we need your credit card information and vehicle details,64
